program,0,1,2,-1,3
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_43/hearts.stan,65.0,137.0,27.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_1/hearts.stan,61.0,125.0,26.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_555/hearts.stan,59.0,127.0,23.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_508/hearts.stan,67.0,149.0,35.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_218/hearts.stan,65.0,144.0,31.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_36/hearts.stan,65.0,153.0,38.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_578/hearts.stan,65.0,136.0,27.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_423/hearts.stan,63.0,136.0,27.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_19/hearts.stan,65.0,130.0,23.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_383/hearts.stan,62.0,133.0,28.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_201/hearts.stan,66.0,151.0,36.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_576/hearts.stan,64.0,140.0,24.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_204/hearts.stan,56.0,119.0,23.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_484/hearts.stan,57.0,111.0,24.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_193/hearts.stan,66.0,142.0,28.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_134/hearts.stan,69.0,168.0,50.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_392/hearts.stan,61.0,122.0,23.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_68/hearts.stan,69.0,134.0,25.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_563/hearts.stan,62.0,133.0,21.0,1.0,0.0
