program,0,1,-1,2
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_43/hearts.stan,148.0,81.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_1/hearts.stan,138.0,74.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_555/hearts.stan,137.0,72.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_508/hearts.stan,157.0,94.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_218/hearts.stan,153.0,87.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_36/hearts.stan,156.0,100.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_578/hearts.stan,147.0,81.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_423/hearts.stan,141.0,85.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_19/hearts.stan,143.0,75.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_383/hearts.stan,143.0,80.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_201/hearts.stan,156.0,97.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_576/hearts.stan,147.0,81.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_204/hearts.stan,133.0,65.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_484/hearts.stan,128.0,64.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_193/hearts.stan,152.0,84.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_134/hearts.stan,167.0,120.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_392/hearts.stan,135.0,71.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_68/hearts.stan,151.0,77.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_563/hearts.stan,144.0,72.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_447/hearts.stan,109.0,78.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_31/hearts.stan,63.0,59.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_287/hearts.stan,133.0,73.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_333/hearts.stan,148.0,80.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_524/hearts.stan,148.0,80.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_146/hearts.stan,130.0,63.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_430/hearts.stan,141.0,82.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_127/hearts.stan,90.0,93.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_100/hearts.stan,146.0,79.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_377/hearts.stan,148.0,83.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_28/hearts.stan,152.0,90.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_470/hearts.stan,149.0,77.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_341/hearts.stan,156.0,95.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_525/hearts.stan,156.0,95.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_335/hearts.stan,148.0,80.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_336/hearts.stan,144.0,75.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_3/hearts.stan,157.0,94.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_98/hearts.stan,92.0,61.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_77/hearts.stan,128.0,61.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_83/hearts.stan,112.0,80.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_523/hearts.stan,164.0,111.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_151/hearts.stan,142.0,75.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_567/hearts.stan,124.0,55.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_84/hearts.stan,120.0,100.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_258/hearts.stan,148.0,80.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_252/hearts.stan,148.0,80.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_312/hearts.stan,145.0,83.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_529/hearts.stan,112.0,80.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_22/hearts.stan,144.0,74.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_27/hearts.stan,144.0,75.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_323/hearts.stan,146.0,82.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_53/hearts.stan,158.0,93.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_13/hearts.stan,153.0,99.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_153/hearts.stan,156.0,87.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_391/hearts.stan,137.0,68.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_442/hearts.stan,148.0,80.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_158/hearts.stan,144.0,75.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_566/hearts.stan,144.0,74.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_133/hearts.stan,146.0,77.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_349/hearts.stan,92.0,82.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_459/hearts.stan,145.0,78.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_324/hearts.stan,147.0,79.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_144/hearts.stan,148.0,83.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_482/hearts.stan,148.0,80.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_386/hearts.stan,148.0,80.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_440/hearts.stan,87.0,87.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_225/hearts.stan,141.0,72.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_192/hearts.stan,141.0,72.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_161/hearts.stan,112.0,80.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_466/hearts.stan,136.0,81.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_517/hearts.stan,156.0,89.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_269/hearts.stan,133.0,65.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_70/hearts.stan,144.0,74.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_167/hearts.stan,156.0,91.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_54/hearts.stan,144.0,75.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_64/hearts.stan,137.0,68.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_16/hearts.stan,141.0,72.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_475/hearts.stan,148.0,83.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_279/hearts.stan,90.0,89.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_302/hearts.stan,144.0,82.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_160/hearts.stan,156.0,89.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_474/hearts.stan,156.0,98.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_38/hearts.stan,145.0,78.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_443/hearts.stan,156.0,89.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_449/hearts.stan,154.0,86.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_395/hearts.stan,94.0,80.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_62/hearts.stan,148.0,80.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_332/hearts.stan,148.0,83.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_309/hearts.stan,156.0,100.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_436/hearts.stan,155.0,90.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_315/hearts.stan,156.0,95.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_325/hearts.stan,141.0,80.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_562/hearts.stan,157.0,94.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_547/hearts.stan,141.0,72.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_206/hearts.stan,112.0,80.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_433/hearts.stan,134.0,70.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_243/hearts.stan,143.0,85.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_296/hearts.stan,149.0,82.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_135/hearts.stan,148.0,80.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_345/hearts.stan,148.0,78.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_451/hearts.stan,137.0,72.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_85/hearts.stan,141.0,83.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_428/hearts.stan,141.0,73.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_329/hearts.stan,164.0,103.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_282/hearts.stan,144.0,82.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_109/hearts.stan,112.0,80.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_74/hearts.stan,150.0,78.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_69/hearts.stan,146.0,79.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_533/hearts.stan,82.0,83.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_170/hearts.stan,152.0,95.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_131/hearts.stan,132.0,67.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_318/hearts.stan,86.0,84.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_480/hearts.stan,135.0,74.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_509/hearts.stan,147.0,79.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_531/hearts.stan,164.0,109.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_387/hearts.stan,148.0,84.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_574/hearts.stan,152.0,92.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_421/hearts.stan,87.0,85.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_445/hearts.stan,108.0,72.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_416/hearts.stan,138.0,71.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_434/hearts.stan,108.0,74.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_281/hearts.stan,164.0,104.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_330/hearts.stan,148.0,83.0,1.0,0.0
