program,0_-2,0_-3,0_-1,1_-3,1_-2,1_-1,-1_-2,0_-4,1_-4,-1_-3,1_-5,2_-4,0_-5,-1_-4
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_43/hearts.stan,16.0,106.0,0.0,42.0,6.0,4.0,1.0,20.0,30.0,0.0,5.0,0.0,0.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_1/hearts.stan,14.0,101.0,0.0,36.0,6.0,4.0,1.0,17.0,30.0,0.0,4.0,0.0,0.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_555/hearts.stan,15.0,100.0,0.0,36.0,6.0,4.0,1.0,16.0,28.0,0.0,4.0,0.0,0.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_508/hearts.stan,18.0,111.0,0.0,45.0,6.0,4.0,1.0,21.0,39.0,0.0,7.0,0.0,0.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_218/hearts.stan,19.0,109.0,0.0,47.0,6.0,4.0,1.0,19.0,32.0,0.0,4.0,0.0,0.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_36/hearts.stan,18.0,110.0,0.0,44.0,6.0,4.0,1.0,22.0,45.0,0.0,7.0,0.0,0.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_578/hearts.stan,15.0,107.0,0.0,40.0,6.0,4.0,1.0,19.0,33.0,0.0,4.0,0.0,0.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_423/hearts.stan,14.0,104.0,0.0,43.0,6.0,4.0,1.0,17.0,33.0,0.0,5.0,0.0,0.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_19/hearts.stan,14.0,105.0,0.0,39.0,6.0,4.0,1.0,18.0,30.0,0.0,2.0,0.0,0.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_383/hearts.stan,17.0,103.0,0.0,44.0,6.0,4.0,1.0,18.0,26.0,0.0,5.0,0.0,0.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_201/hearts.stan,18.0,110.0,0.0,45.0,6.0,4.0,1.0,21.0,44.0,0.0,5.0,0.0,0.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_576/hearts.stan,15.0,106.0,0.0,40.0,6.0,4.0,1.0,19.0,34.0,0.0,4.0,0.0,0.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_204/hearts.stan,14.0,98.0,0.0,29.0,4.0,4.0,1.0,16.0,29.0,0.0,4.0,0.0,0.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_484/hearts.stan,13.0,98.0,0.0,32.0,4.0,4.0,1.0,13.0,23.0,0.0,5.0,0.0,0.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_193/hearts.stan,18.0,107.0,0.0,46.0,6.0,4.0,1.0,21.0,32.0,0.0,2.0,0.0,0.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_134/hearts.stan,21.0,113.0,0.0,49.0,6.0,4.0,1.0,27.0,58.0,0.0,9.0,0.0,0.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_392/hearts.stan,14.0,100.0,0.0,39.0,6.0,4.0,1.0,16.0,22.0,0.0,5.0,0.0,0.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_68/hearts.stan,16.0,107.0,0.0,45.0,6.0,4.0,1.0,21.0,25.0,0.0,4.0,0.0,0.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_563/hearts.stan,14.0,102.0,0.0,38.0,6.0,4.0,1.0,19.0,31.0,0.0,2.0,0.0,0.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_447/hearts.stan,16.0,70.0,0.0,42.0,6.0,4.0,1.0,17.0,28.0,0.0,4.0,0.0,0.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_31/hearts.stan,13.0,30.0,0.0,28.0,4.0,4.0,1.0,15.0,26.0,0.0,2.0,0.0,0.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_287/hearts.stan,13.0,99.0,0.0,36.0,6.0,4.0,1.0,16.0,27.0,0.0,5.0,0.0,0.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_333/hearts.stan,16.0,106.0,0.0,42.0,6.0,4.0,1.0,20.0,30.0,0.0,4.0,0.0,0.0,0.0
