program,0_-1_0,0_-1_-1,0_-2_-1,0_-3_-1,0_-2_0,1_-2_-1,1_-3_-1,1_-2_0,-1_-2_0,0_-3_0,1_-3_0,1_-4_-1,0_-4_0,0_-4_-1,-1_-3_0,1_-4_0,0_-3_1
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_43/hearts.stan,0.0,4.0,15.0,58.0,16.0,10.0,25.0,0.0,1.0,32.0,11.0,6.0,5.0,5.0,0.0,6.0,36.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_1/hearts.stan,0.0,4.0,13.0,54.0,15.0,9.0,23.0,0.0,1.0,28.0,8.0,5.0,6.0,5.0,0.0,6.0,36.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_555/hearts.stan,0.0,4.0,15.0,53.0,15.0,8.0,23.0,0.0,1.0,27.0,8.0,5.0,5.0,5.0,0.0,5.0,36.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_508/hearts.stan,0.0,4.0,16.0,58.0,18.0,10.0,32.0,0.0,1.0,36.0,12.0,5.0,8.0,9.0,0.0,7.0,36.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_218/hearts.stan,0.0,4.0,15.0,57.0,19.0,11.0,28.0,0.0,1.0,33.0,12.0,5.0,7.0,7.0,0.0,6.0,36.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_36/hearts.stan,0.0,4.0,15.0,58.0,18.0,10.0,35.0,0.0,1.0,36.0,14.0,5.0,9.0,8.0,0.0,8.0,36.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_578/hearts.stan,0.0,4.0,14.0,58.0,16.0,11.0,26.0,0.0,1.0,31.0,11.0,5.0,6.0,5.0,0.0,5.0,36.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_423/hearts.stan,0.0,4.0,13.0,56.0,16.0,9.0,29.0,0.0,1.0,29.0,12.0,5.0,6.0,5.0,0.0,6.0,36.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_19/hearts.stan,0.0,4.0,14.0,58.0,15.0,11.0,23.0,0.0,1.0,29.0,11.0,4.0,5.0,3.0,0.0,5.0,36.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_383/hearts.stan,0.0,4.0,13.0,51.0,19.0,9.0,27.0,0.0,1.0,28.0,12.0,5.0,7.0,8.0,0.0,4.0,36.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_201/hearts.stan,0.0,4.0,14.0,58.0,19.0,12.0,33.0,0.0,1.0,35.0,15.0,5.0,9.0,6.0,0.0,7.0,36.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_576/hearts.stan,0.0,4.0,16.0,60.0,15.0,10.0,26.0,0.0,1.0,32.0,8.0,5.0,5.0,5.0,0.0,6.0,36.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_204/hearts.stan,0.0,4.0,11.0,53.0,15.0,8.0,21.0,0.0,1.0,25.0,7.0,4.0,5.0,4.0,0.0,5.0,36.0
