program,0,1,2,3,-1
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_362/stochastic-volatility.stan,11.0,72.0,1039.0,302.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_86/stochastic-volatility.stan,12.0,83.0,295.0,91.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_570/stochastic-volatility.stan,11.0,78.0,1046.0,286.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_168/stochastic-volatility.stan,15.0,82.0,1048.0,288.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_563/stochastic-volatility.stan,13.0,77.0,1039.0,285.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_299/stochastic-volatility.stan,11.0,68.0,1035.0,283.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_552/stochastic-volatility.stan,12.0,83.0,1045.0,287.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_166/stochastic-volatility.stan,9.0,68.0,1036.0,284.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_105/stochastic-volatility.stan,6.0,56.0,1031.0,281.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_524/stochastic-volatility.stan,11.0,85.0,1049.0,288.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_580/stochastic-volatility.stan,10.0,70.0,1040.0,283.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_228/stochastic-volatility.stan,11.0,85.0,294.0,85.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_88/stochastic-volatility.stan,11.0,73.0,1040.0,284.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_543/stochastic-volatility.stan,15.0,71.0,1042.0,279.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_20/stochastic-volatility.stan,8.0,64.0,1050.0,280.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_93/stochastic-volatility.stan,9.0,62.0,1033.0,281.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_156/stochastic-volatility.stan,11.0,68.0,1037.0,280.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_181/stochastic-volatility.stan,11.0,71.0,288.0,86.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_534/stochastic-volatility.stan,11.0,72.0,1039.0,23.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_161/stochastic-volatility.stan,11.0,65.0,1037.0,280.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_555/stochastic-volatility.stan,11.0,70.0,539.0,144.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_589/stochastic-volatility.stan,12.0,81.0,1043.0,286.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_18/stochastic-volatility.stan,8.0,79.0,299.0,87.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_353/stochastic-volatility.stan,11.0,85.0,549.0,160.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_170/stochastic-volatility.stan,11.0,71.0,100.0,36.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_66/stochastic-volatility.stan,11.0,72.0,163.0,49.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_513/stochastic-volatility.stan,6.0,64.0,161.0,50.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_473/stochastic-volatility.stan,11.0,85.0,1044.0,288.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_592/stochastic-volatility.stan,11.0,72.0,45.0,19.0,1.0
