program,0_-2_0_-1_0,0_-2_-1_-1_0,0_-2_-1_0_-1,1_-3_-1_0_-1,0_-3_-1_0_-1,0_-3_-2_0_-1,1_-3_-1_0_0,0_-2_-1_-1_-1,1_-4_-1_0_-1,1_-2_-1_-1_0,1_-2_-1_-1_-1,1_-3_-2_0_-1,2_-3_-1_0_-1,1_-3_-1_1_-1,0_-2_0_0_0,0_-3_-1_0_0,1_-3_-1_-1_0,1_-4_-2_0_-1,2_-3_-2_0_-1,0_-3_-1_1_-1,2_-3_-1_-1_-1,1_-1_-1_-1_-1,1_-3_-1_-1_-1,0_-3_-1_-1_0,0_-4_-1_0_-1,2_-3_-1_0_0,-1_-2_-1_0_-1,0_-4_-1_1_-1,1_-2_0_-1_0,0_-3_-1_-1_-1,2_-4_-1_0_-1,1_-3_0_-1_0,-1_-3_0_0_-1,0_-3_0_0_0,1_-4_0_0_0,0_-3_0_-1_0,1_-4_-1_0_0,2_-4_-1_0_0,1_-4_-1_1_-1,2_-4_0_0_0,0_-3_0_0_-1,0_-4_0_0_-1,0_-4_0_0_0,1_-5_-1_0_-1,1_-5_-1_1_-1,-1_-3_0_0_0,1_-4_0_-1_0,1_-4_-1_-1_-1,1_-3_0_-1_-1,1_-4_-1_-1_0,1_-5_-1_-1_0,2_-5_-1_0_-1,2_-5_-1_0_0,0_-4_-1_-1_-1,0_-4_0_-1_0,0_-5_0_0_0,0_-3_1_-1_0,-1_-3_0_-1_0,-1_-4_0_0_0,0_-4_0_1_-1,0_-5_0_1_-1,0_-5_-1_1_-1,0_-5_-1_0_-1,1_-4_0_0_-1,1_-5_0_0_0,0_-3_0_-1_-1,1_-5_-1_0_0,-1_-3_1_0_0,0_-4_1_-1_0,1_-4_0_-1_-1,1_-6_-1_0_-1,-1_-4_0_-1_0,0_-5_0_0_-1,0_-4_1_0_0,0_-3_1_0_0,0_-6_-1_1_-1,1_-5_0_-1_0,2_-5_-1_1_-1,2_-6_0_0_0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_362/stochastic-volatility.stan,0.0,0.0,0.0,2.0,1.0,0.0,4.0,0.0,11.0,2.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,1.0,6.0,7.0,3.0,6.0,0.0,2.0,0.0,2.0,6.0,224.0,0.0,0.0,512.0,5.0,0.0,3.0,0.0,2.0,285.0,0.0,5.0,7.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,12.0,0.0,0.0,1.0,0.0,0.0,285.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_86/stochastic-volatility.stan,0.0,0.0,0.0,2.0,1.0,0.0,5.0,0.0,13.0,2.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,5.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,1.0,8.0,10.0,2.0,6.0,0.0,3.0,0.0,2.0,6.0,66.0,0.0,0.0,140.0,5.0,0.0,3.0,0.0,2.0,70.0,0.0,6.0,8.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,16.0,0.0,0.0,1.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_570/stochastic-volatility.stan,0.0,0.0,0.0,2.0,1.0,0.0,4.0,0.0,14.0,2.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,5.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,1.0,7.0,8.0,2.0,6.0,0.0,4.0,0.0,2.0,5.0,244.0,0.0,0.0,514.0,7.0,0.0,3.0,0.0,2.0,266.0,0.0,6.0,9.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,14.0,0.0,0.0,1.0,0.0,0.0,266.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_168/stochastic-volatility.stan,1.0,1.0,1.0,2.0,0.0,0.0,4.0,0.0,14.0,0.0,0.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,6.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,4.0,7.0,9.0,3.0,7.0,0.0,4.0,0.0,1.0,5.0,246.0,0.0,0.0,516.0,8.0,0.0,3.0,0.0,2.0,266.0,0.0,4.0,9.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,17.0,0.0,0.0,1.0,0.0,0.0,266.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_563/stochastic-volatility.stan,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,10.0,2.0,1.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,7.0,8.0,2.0,7.0,0.0,2.0,0.0,2.0,7.0,247.0,0.0,0.0,514.0,5.0,0.0,2.0,0.0,2.0,266.0,0.0,7.0,6.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,12.0,0.0,0.0,1.0,0.0,0.0,266.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_299/stochastic-volatility.stan,0.0,0.0,0.0,2.0,1.0,0.0,4.0,0.0,10.0,2.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,1.0,5.0,7.0,1.0,6.0,0.0,2.0,0.0,1.0,6.0,243.0,0.0,0.0,512.0,4.0,0.0,4.0,0.0,2.0,266.0,0.0,5.0,8.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,266.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_552/stochastic-volatility.stan,0.0,0.0,0.0,2.0,1.0,0.0,5.0,0.0,13.0,2.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,5.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,1.0,8.0,10.0,2.0,6.0,0.0,3.0,0.0,2.0,6.0,245.0,0.0,0.0,515.0,5.0,0.0,3.0,0.0,2.0,266.0,0.0,6.0,8.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,16.0,0.0,0.0,1.0,0.0,0.0,266.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_166/stochastic-volatility.stan,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,11.0,2.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,5.0,7.0,2.0,7.0,0.0,2.0,0.0,1.0,6.0,244.0,0.0,0.0,512.0,5.0,0.0,2.0,0.0,2.0,266.0,0.0,5.0,6.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,12.0,0.0,0.0,1.0,0.0,0.0,266.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_105/stochastic-volatility.stan,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,8.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,4.0,5.0,1.0,6.0,0.0,2.0,0.0,0.0,5.0,242.0,0.0,0.0,510.0,3.0,0.0,4.0,0.0,2.0,266.0,0.0,5.0,6.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,266.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_524/stochastic-volatility.stan,0.0,0.0,0.0,2.0,1.0,0.0,4.0,0.0,14.0,2.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,6.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,1.0,7.0,9.0,3.0,7.0,0.0,4.0,0.0,2.0,6.0,246.0,0.0,0.0,516.0,8.0,0.0,3.0,0.0,2.0,266.0,0.0,5.0,9.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,17.0,0.0,0.0,1.0,0.0,0.0,266.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
