site	day	count1	count2
1	1	0	0
2	1	0	0
3	1	0	0
4	1	1	0
5	1	0	0
6	1	0	0
7	1	0	0
8	1	0	0
9	1	0	0
10	1	0	0
11	1	0	0
12	1	0	0
13	1	0	1
14	1	0	0
15	1	0	0
16	1	0	0
17	1	0	0
18	1	0	0
19	1	0	0
20	1	NA	NA
21	1	0	0
22	1	NA	NA
23	1	0	0
24	1	0	0
25	1	0	0
26	1	0	0
27	1	0	0
28	1	NA	NA
29	1	0	0
30	1	0	0
31	1	0	0
32	1	NA	NA
33	1	0	0
34	1	0	0
35	1	NA	NA
36	1	0	0
37	1	0	0
38	1	0	0
39	1	0	0
40	1	NA	NA
41	1	0	0
42	1	0	0
43	1	0	0
44	1	0	0
45	1	0	0
46	1	0	0
47	1	0	0
48	1	0	1
49	1	0	0
50	1	0	0
51	1	NA	NA
52	1	0	0
53	1	0	0
54	1	0	0
55	1	0	0
56	1	0	0
57	1	0	0
58	1	NA	NA
59	1	0	0
60	1	0	0
61	1	0	0
62	1	0	0
63	1	0	0
64	1	1	0
65	1	0	0
66	1	0	0
67	1	NA	NA
68	1	0	0
69	1	0	0
70	1	0	0
71	1	NA	NA
72	1	0	0
73	1	0	0
74	1	0	0
75	1	NA	NA
76	1	NA	NA
77	1	NA	NA
78	1	0	0
79	1	NA	NA
80	1	0	0
81	1	0	0
82	1	NA	NA
83	1	0	0
84	1	0	0
85	1	0	0
86	1	0	0
87	1	0	0
88	1	0	0
89	1	0	0
90	1	NA	NA
91	1	NA	NA
92	1	NA	NA
93	1	NA	NA
94	1	0	0
95	1	NA	NA
1	2	0	0
2	2	0	0
3	2	0	0
4	2	0	0
5	2	0	0
6	2	0	0
7	2	0	0
8	2	0	0
9	2	0	0
10	2	0	0
11	2	0	0
12	2	0	0
13	2	0	0
14	2	0	0
15	2	0	0
16	2	0	0
17	2	0	0
18	2	0	0
19	2	0	0
20	2	0	0
21	2	0	0
22	2	0	0
23	2	0	0
24	2	0	0
25	2	0	0
26	2	0	0
27	2	0	0
28	2	0	0
29	2	0	0
30	2	0	0
31	2	0	0
32	2	NA	NA
33	2	0	0
34	2	0	0
35	2	NA	NA
36	2	0	0
37	2	0	0
38	2	0	0
39	2	0	0
40	2	NA	NA
41	2	0	0
42	2	0	0
43	2	0	0
44	2	0	0
45	2	0	0
46	2	0	0
47	2	0	0
48	2	0	0
49	2	0	0
50	2	0	0
51	2	NA	NA
52	2	0	0
53	2	0	0
54	2	0	0
55	2	0	0
56	2	0	0
57	2	0	0
58	2	0	0
59	2	0	0
60	2	0	0
61	2	0	0
62	2	0	0
63	2	0	0
64	2	0	0
65	2	0	0
66	2	0	0
67	2	NA	NA
68	2	0	0
69	2	0	0
70	2	0	0
71	2	NA	NA
72	2	0	0
73	2	0	0
74	2	0	0
75	2	0	0
76	2	0	0
77	2	NA	NA
78	2	0	0
79	2	0	0
80	2	0	0
81	2	0	0
82	2	NA	NA
83	2	0	0
84	2	0	0
85	2	0	0
86	2	0	0
87	2	0	0
88	2	0	0
89	2	0	0
90	2	0	0
91	2	0	0
92	2	0	0
93	2	0	0
94	2	0	0
95	2	0	0
1	3	0	0
2	3	0	2
3	3	0	0
4	3	1	0
5	3	0	0
6	3	0	0
7	3	0	0
8	3	0	0
9	3	0	0
10	3	1	0
11	3	0	0
12	3	0	0
13	3	0	0
14	3	0	0
15	3	0	0
16	3	0	0
17	3	0	0
18	3	0	0
19	3	0	0
20	3	0	0
21	3	0	0
22	3	0	0
23	3	0	2
24	3	0	0
25	3	0	0
26	3	0	1
27	3	0	0
28	3	0	0
29	3	0	0
30	3	0	0
31	3	0	0
32	3	0	0
33	3	0	0
34	3	0	0
35	3	0	0
36	3	0	0
37	3	0	0
38	3	0	0
39	3	0	0
40	3	0	0
41	3	0	0
42	3	0	0
43	3	0	0
44	3	0	0
45	3	0	0
46	3	0	0
47	3	0	0
48	3	0	0
49	3	0	0
50	3	0	0
51	3	0	0
52	3	0	0
53	3	0	0
54	3	5	7
55	3	0	0
56	3	0	0
57	3	0	0
58	3	0	0
59	3	0	0
60	3	0	0
61	3	0	0
62	3	0	0
63	3	0	0
64	3	0	0
65	3	0	0
66	3	0	0
67	3	0	0
68	3	0	0
69	3	0	0
70	3	0	0
71	3	0	0
72	3	0	0
73	3	0	0
74	3	1	1
75	3	0	0
76	3	0	0
77	3	0	0
78	3	0	0
79	3	0	0
80	3	0	0
81	3	0	0
82	3	0	0
83	3	0	0
84	3	0	0
85	3	0	0
86	3	0	0
87	3	0	0
88	3	0	0
89	3	0	0
90	3	0	0
91	3	0	0
92	3	0	0
93	3	0	0
94	3	0	0
95	3	0	0
1	4	0	0
2	4	0	0
3	4	0	0
4	4	5	3
5	4	0	0
6	4	1	0
7	4	0	0
8	4	0	0
9	4	2	1
10	4	0	0
11	4	0	0
12	4	0	0
13	4	0	0
14	4	0	0
15	4	0	0
16	4	1	1
17	4	0	0
18	4	0	0
19	4	0	0
20	4	0	0
21	4	0	0
22	4	0	0
23	4	0	2
24	4	0	0
25	4	2	1
26	4	0	0
27	4	4	3
28	4	0	0
29	4	0	0
30	4	0	0
31	4	1	0
32	4	0	0
33	4	0	0
34	4	0	0
35	4	0	0
36	4	0	0
37	4	0	1
38	4	0	0
39	4	0	0
40	4	0	0
41	4	0	0
42	4	0	0
43	4	0	0
44	4	0	0
45	4	0	0
46	4	0	0
47	4	0	0
48	4	0	0
49	4	0	0
50	4	0	0
51	4	0	0
52	4	0	0
53	4	0	0
54	4	2	4
55	4	0	0
56	4	0	2
57	4	0	0
58	4	0	0
59	4	0	0
60	4	0	0
61	4	0	0
62	4	2	1
63	4	1	1
64	4	2	2
65	4	0	0
66	4	0	0
67	4	0	0
68	4	0	0
69	4	0	0
70	4	0	0
71	4	0	0
72	4	0	0
73	4	0	0
74	4	0	1
75	4	0	0
76	4	0	0
77	4	0	0
78	4	0	0
79	4	0	0
80	4	0	0
81	4	0	0
82	4	0	0
83	4	0	0
84	4	0	0
85	4	0	0
86	4	1	0
87	4	0	0
88	4	0	0
89	4	0	0
90	4	0	0
91	4	0	0
92	4	0	0
93	4	0	0
94	4	0	0
95	4	0	0
1	5	0	0
2	5	2	2
3	5	1	0
4	5	7	6
5	5	0	0
6	5	0	1
7	5	0	1
8	5	1	0
9	5	1	0
10	5	0	1
11	5	0	0
12	5	0	0
13	5	0	0
14	5	0	0
15	5	0	0
16	5	2	0
17	5	0	0
18	5	0	1
19	5	0	0
20	5	0	0
21	5	0	0
22	5	0	0
23	5	2	1
24	5	0	0
25	5	0	0
26	5	0	0
27	5	1	2
28	5	0	0
29	5	0	0
30	5	0	0
31	5	2	0
32	5	0	0
33	5	0	0
34	5	9	3
35	5	0	0
36	5	0	0
37	5	0	0
38	5	0	0
39	5	1	0
40	5	0	0
41	5	0	0
42	5	0	0
43	5	0	0
44	5	3	9
45	5	0	1
46	5	1	1
47	5	0	0
48	5	0	0
49	5	0	1
50	5	0	3
51	5	0	0
52	5	0	0
53	5	0	2
54	5	5	3
55	5	0	0
56	5	0	1
57	5	0	0
58	5	0	0
59	5	0	0
60	5	0	0
61	5	0	0
62	5	9	4
63	5	3	4
64	5	1	2
65	5	2	4
66	5	13	8
67	5	0	0
68	5	0	0
69	5	2	1
70	5	0	0
71	5	0	0
72	5	0	0
73	5	0	0
74	5	1	0
75	5	0	0
76	5	0	0
77	5	0	0
78	5	0	0
79	5	0	0
80	5	0	0
81	5	0	3
82	5	0	0
83	5	1	1
84	5	0	0
85	5	0	0
86	5	0	0
87	5	0	0
88	5	0	1
89	5	0	0
90	5	0	0
91	5	0	0
92	5	0	0
93	5	0	0
94	5	0	2
95	5	0	0
1	6	0	0
2	6	1	2
3	6	0	0
4	6	2	4
5	6	0	0
6	6	2	3
7	6	0	0
8	6	0	0
9	6	10	7
10	6	0	0
11	6	0	0
12	6	0	0
13	6	0	0
14	6	0	0
15	6	0	0
16	6	2	3
17	6	0	0
18	6	0	0
19	6	0	0
20	6	0	0
21	6	0	0
22	6	0	0
23	6	3	2
24	6	0	0
25	6	0	0
26	6	0	0
27	6	0	0
28	6	0	0
29	6	0	0
30	6	0	0
31	6	0	1
32	6	0	0
33	6	0	0
34	6	0	0
35	6	0	0
36	6	0	0
37	6	0	0
38	6	1	1
39	6	1	0
40	6	0	0
41	6	0	0
42	6	0	0
43	6	0	0
44	6	0	3
45	6	1	0
46	6	0	0
47	6	0	1
48	6	0	0
49	6	0	0
50	6	1	0
51	6	0	0
52	6	0	0
53	6	0	0
54	6	6	5
55	6	1	0
56	6	0	0
57	6	0	0
58	6	0	0
59	6	0	0
60	6	0	0
61	6	1	1
62	6	7	14
63	6	2	2
64	6	2	1
65	6	0	0
66	6	5	10
67	6	0	0
68	6	1	0
69	6	4	2
70	6	0	0
71	6	0	0
72	6	0	0
73	6	0	0
74	6	4	3
75	6	0	0
76	6	0	0
77	6	0	0
78	6	1	3
79	6	0	0
80	6	0	0
81	6	2	0
82	6	0	0
83	6	1	1
84	6	0	0
85	6	0	0
86	6	0	0
87	6	0	0
88	6	0	0
89	6	0	0
90	6	0	0
91	6	0	0
92	6	0	0
93	6	0	0
94	6	0	0
95	6	0	0
1	7	0	0
2	7	1	0
3	7	0	0
4	7	1	0
5	7	0	0
6	7	1	0
7	7	0	0
8	7	0	0
9	7	9	8
10	7	0	0
11	7	0	0
12	7	0	0
13	7	0	0
14	7	0	0
15	7	0	0
16	7	1	1
17	7	0	1
18	7	0	0
19	7	1	0
20	7	0	0
21	7	0	0
22	7	0	2
23	7	1	2
24	7	0	0
25	7	0	0
26	7	0	0
27	7	1	0
28	7	0	0
29	7	0	0
30	7	0	0
31	7	1	0
32	7	NA	NA
33	7	0	0
34	7	0	1
35	7	NA	NA
36	7	0	0
37	7	0	0
38	7	0	0
39	7	0	0
40	7	NA	NA
41	7	0	0
42	7	0	0
43	7	1	0
44	7	0	0
45	7	0	0
46	7	1	2
47	7	0	0
48	7	0	0
49	7	0	0
50	7	0	0
51	7	NA	NA
52	7	0	0
53	7	1	0
54	7	2	6
55	7	0	0
56	7	1	0
57	7	3	1
58	7	0	0
59	7	0	0
60	7	0	0
61	7	1	0
62	7	6	5
63	7	2	1
64	7	3	1
65	7	0	0
66	7	3	1
67	7	NA	NA
68	7	1	0
69	7	1	0
70	7	0	0
71	7	NA	NA
72	7	0	0
73	7	1	1
74	7	2	3
75	7	0	0
76	7	0	0
77	7	NA	NA
78	7	1	1
79	7	0	0
80	7	0	0
81	7	0	1
82	7	NA	NA
83	7	1	0
84	7	0	0
85	7	0	0
86	7	0	0
87	7	0	0
88	7	2	1
89	7	1	0
90	7	0	0
91	7	0	0
92	7	0	0
93	7	0	0
94	7	0	0
95	7	0	0
