d1	d2	width
1	0	13.8
1	1	17.4
1	1	21
1	0	12.7
1	1	15.5
1	1	13
1	0	19.6
1	1	15.6
1	1	14.7
1	0	13.2
1	1	22.2
1	1	6.1
1	1	5.6
1	1	16.5
1	0	10.2
1	0	13.4
1	1	14.5
1	1	18.7
1	0	15.8
1	0	15.2
1	0	22.6
1	0	23
1	1	16.4
1	0	7.8
1	1	12.6
1	0	19.4
1	1	17.7
1	0	17.7
1	1	14.3
1	1	19.7
1	0	18.9
1	1	10.1
1	0	11.8
1	0	12.3
1	1	18.9
1	0	14.9
1	1	14.4
1	0	8.9
1	1	19.6
1	1	19.3
1	1	16.2
1	1	19.7
1	0	8.3
1	1	19
1	1	24
1	1	20.5
1	1	19.8
1	1	17
1	0	19.5
1	1	18.4
1	0	13.2
1	0	12.3
1	0	16.6
1	1	13.7
1	1	19.9
1	0	15.1
1	0	14.5
1	1	22.5
1	0	16.6
1	1	16.6
1	1	12.3
1	1	18.8
1	0	12.4
1	1	18.1
1	1	12.4
1	0	13.8
1	0	12.2
1	1	19.7
1	0	8.2
1	1	15
1	0	13.3
1	1	18
1	0	6.2
1	1	19.7
1	0	13.1
1	0	12.2
1	1	19.7
1	1	14.8
1	1	16.8
1	1	18.9
1	1	14.4
1	0	16.5
1	1	17.2
1	1	17.7
1	1	10.1
1	0	12
1	0	17.1
1	0	20
1	0	10.1
1	0	15.8
1	1	18.3
1	0	15
1	1	20.1
1	0	13.4
1	1	10.5
1	1	16.2
1	1	14
1	1	21
1	1	14.9
1	0	16.9
1	0	9.9
1	0	19.1
1	1	12.4
1	1	12.9
1	0	14.4
1	0	10.3
1	0	12.8
1	0	12.4
1	0	14.7
1	0	20.1
1	0	13.5
1	0	17.4
1	0	18.8
0	1	7.1
0	1	9.2
0	1	16.1
0	1	13.5
0	1	9
0	1	3.3
0	1	21.5
0	1	12.4
0	1	10.7
0	1	18.2
0	1	13.8
0	1	11.2
0	1	9.6
0	1	17.3
0	1	13.9
0	1	17.5
0	1	9.7
0	1	18
0	1	14
0	1	20
0	1	11.1
0	1	15.6
0	1	11.8
1	1	19.5
0	1	14
0	1	5.4
0	1	9.6
0	1	11.8
0	1	15.3
0	1	17.1
