name,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
"lp__",-26554.2,1.86659,31.4338,-26606.9,-26553.9,-26503.5,283.595,inf,1.00323
"accept_stat__",0.781409,0.00607821,0.187129,0.413819,0.830154,0.995073,947.835,inf,0.999228
"stepsize__",0.0117917,6.62248e-17,4.68566e-17,0.0117917,0.0117917,0.0117917,0.500611,inf,0.999187
"treedepth__",8.63415,0.0208566,0.481865,8,9,9,533.783,inf,0.999198
"n_leapfrog__",454.597,4.27673,107.643,255,511,511,633.501,inf,0.999819
"divergent__",0,0,0,0,0,0,1230,inf,-nan
"energy__",27058,2.27044,38.3392,26997,27057.1,27123.3,285.146,inf,1.00304
"alpha_0raw[1]",0.860806,0.000737773,0.011581,0.841843,0.86063,0.880254,246.405,inf,0.999204
"alpha_0raw[2]",1.16873,0.000647344,0.0155593,1.14289,1.16806,1.19391,577.706,inf,1.00126
"alpha_0raw[3]",1.18303,0.000698474,0.0166247,1.15721,1.18175,1.21235,566.513,inf,1.00086
"alpha_0raw[4]",1.15495,0.000606349,0.0138494,1.13335,1.1554,1.1773,521.694,inf,0.999288
"tau_u[1]",0.706906,0.00233395,0.0439635,0.637622,0.70352,0.780797,354.815,inf,1.00103
"tau_u[2]",0.793105,0.00326589,0.0725587,0.677465,0.790056,0.916487,493.601,inf,0.999771
"tau_u[3]",0.636436,0.00401755,0.0813856,0.512071,0.633955,0.774804,410.367,inf,0.999773
"tau_u[4]",0.752735,0.00328074,0.0746536,0.632302,0.75233,0.879068,517.797,inf,1.01029
"L_u[1,1]",1,1.52011e-16,5.33124e-15,1,1,1,1230,inf,0.999187
"L_u[1,2]",0,0,0,0,0,0,1230,inf,-nan
"L_u[1,3]",0,0,0,0,0,0,1230,inf,-nan
"L_u[1,4]",0,0,0,0,0,0,1230,inf,-nan
"L_u[2,1]",0.18582,0.00540944,0.108778,0.000602229,0.188183,0.363763,404.369,inf,1.00121
"L_u[2,2]",0.976289,0.00111667,0.0225535,0.931492,0.982222,0.999669,407.919,inf,1.00056
"L_u[2,3]",0,0,0,0,0,0,1230,inf,-nan
"L_u[2,4]",0,0,0,0,0,0,1230,inf,-nan
"L_u[3,1]",0.24885,0.00577783,0.126373,0.0484815,0.25172,0.446097,478.384,inf,1.00204
"L_u[3,2]",0.0610531,0.0079151,0.141748,-0.17975,0.0643277,0.2989,320.717,inf,1.00204
"L_u[3,3]",0.947011,0.0017293,0.0385334,0.873769,0.955347,0.995004,496.52,inf,0.999739
"L_u[3,4]",0,0,0,0,0,0,1230,inf,-nan
"L_u[4,1]",0.166909,0.0058573,0.112588,-0.0285789,0.168785,0.340432,369.477,inf,0.999466
"L_u[4,2]",0.177219,0.00805637,0.125828,-0.0328322,0.177297,0.386888,243.934,inf,0.999404
"L_u[4,3]",0.122613,0.0105899,0.142279,-0.112075,0.11852,0.358742,180.509,inf,1.00686
"L_u[4,4]",0.935638,0.00221204,0.0396431,0.862571,0.942477,0.987955,321.181,inf,1.0005
"z_u[1,1]",-0.478252,0.0117759,0.412998,-1.14655,-0.4813,0.173403,1230,inf,1.0006
"z_u[1,2]",-0.875544,0.012421,0.395389,-1.52074,-0.873064,-0.250814,1013.29,inf,0.999188
"z_u[1,3]",0.700744,0.0190721,0.41461,0.010868,0.702361,1.38272,472.587,inf,1.00019
"z_u[1,4]",1.32825,0.0131893,0.416895,0.640441,1.33052,2.00657,999.109,inf,1.00024
"z_u[1,5]",0.236897,0.0120408,0.410466,-0.452592,0.235709,0.92768,1162.11,inf,1.00155
"z_u[1,6]",-1.27136,0.0116786,0.409583,-1.95027,-1.2768,-0.592548,1230,inf,0.999297
"z_u[1,7]",0.532793,0.0144022,0.401225,-0.162907,0.530584,1.15701,776.097,inf,0.999187
"z_u[1,8]",0.306506,0.0149046,0.473467,-0.502674,0.299394,1.08057,1009.12,inf,0.999241
"z_u[1,9]",0.22874,0.0120553,0.422795,-0.440508,0.21177,0.943382,1230,inf,0.999575
"z_u[1,10]",-0.872058,0.0121466,0.425997,-1.57522,-0.853275,-0.212052,1230,inf,1.00053
"z_u[1,11]",-0.269691,0.0108863,0.381799,-0.899618,-0.276909,0.353767,1230,inf,0.999269
"z_u[1,12]",1.29604,0.0112367,0.394087,0.634076,1.28331,1.9466,1230,inf,0.999753
"z_u[1,13]",0.596223,0.0116917,0.389689,-0.0453145,0.592893,1.26164,1110.92,inf,0.999192
"z_u[1,14]",-1.38369,0.012947,0.454068,-2.13459,-1.38813,-0.648583,1230,inf,1.00017
"z_u[1,15]",-0.230468,0.0149003,0.446246,-0.95085,-0.223624,0.514815,896.931,inf,1.00082
"z_u[1,16]",-0.0303842,0.0118267,0.389857,-0.700798,-0.0223835,0.579648,1086.63,inf,0.999199
"z_u[1,17]",-0.412884,0.011894,0.417139,-1.11522,-0.41105,0.306645,1230,inf,1
"z_u[1,18]",-0.623704,0.0138146,0.437808,-1.37885,-0.617909,0.100124,1004.36,inf,1.00041
"z_u[1,19]",-0.0897232,0.0115502,0.405081,-0.748658,-0.0826723,0.573229,1230,inf,0.999381
"z_u[1,20]",-1.1591,0.0139518,0.422559,-1.84949,-1.16202,-0.467717,917.305,inf,1.00142
"z_u[1,21]",-0.35267,0.0146144,0.405296,-1.02415,-0.345579,0.290807,769.104,inf,0.99926
"z_u[1,22]",-1.14198,0.013219,0.404735,-1.82733,-1.13757,-0.478513,937.443,inf,0.999199
"z_u[1,23]",-1.7976,0.0140156,0.47788,-2.5629,-1.80392,-1.01263,1162.55,inf,0.999474
"z_u[1,24]",1.29258,0.012633,0.443057,0.545031,1.31802,2.00349,1230,inf,1.00077
"z_u[1,25]",0.683217,0.013296,0.405726,0.0125171,0.680672,1.3675,931.161,inf,0.999722
"z_u[1,26]",1.07289,0.0131032,0.407725,0.384588,1.08102,1.71997,968.236,inf,0.999206
"z_u[1,27]",-0.820747,0.0134776,0.420856,-1.50185,-0.821057,-0.131502,975.089,inf,1.0017
"z_u[1,28]",1.03534,0.0129649,0.403599,0.357009,1.0453,1.69858,969.088,inf,0.999459
"z_u[1,29]",-0.877926,0.0128828,0.451816,-1.60346,-0.894681,-0.117176,1230,inf,0.999344
"z_u[1,30]",-1.09815,0.0122439,0.425221,-1.80862,-1.1033,-0.390294,1206.12,inf,1.0006
"z_u[1,31]",1.94942,0.0161307,0.468967,1.18104,1.96209,2.71433,845.234,inf,0.999283
"z_u[1,32]",-0.306054,0.0134663,0.431763,-1.02432,-0.304389,0.40191,1028,inf,0.999188
"z_u[1,33]",-0.556392,0.0113926,0.399555,-1.2142,-0.552604,0.0924428,1230,inf,0.99984
"z_u[1,34]",1.77616,0.0128926,0.409312,1.10679,1.78392,2.4645,1007.92,inf,0.999486
"z_u[1,35]",-0.93931,0.0127445,0.403412,-1.63478,-0.933275,-0.308031,1001.96,inf,0.999187
"z_u[1,36]",0.165894,0.0112684,0.395197,-0.488616,0.161402,0.821902,1230,inf,0.999417
"z_u[1,37]",0.00299335,0.0116764,0.409507,-0.694051,0.00846923,0.652692,1230,inf,0.999194
"z_u[1,38]",1.51557,0.0140278,0.411614,0.853045,1.50908,2.20653,860.998,inf,1.00019
"z_u[1,39]",0.211007,0.0110881,0.388876,-0.411808,0.19879,0.857182,1230,inf,0.999189
"z_u[1,40]",-0.538049,0.0134982,0.404522,-1.23398,-0.556265,0.147318,898.122,inf,1.00013
"z_u[1,41]",0.00574327,0.0121926,0.42761,-0.70019,0.00509318,0.71045,1230,inf,0.999877
"z_u[1,42]",-0.785007,0.0122277,0.428841,-1.4827,-0.787829,-0.0669001,1230,inf,0.999347
"z_u[1,43]",-0.565328,0.0129074,0.417057,-1.26253,-0.583426,0.139986,1044.02,inf,0.999283
"z_u[1,44]",0.361129,0.014321,0.429656,-0.34313,0.364058,1.04738,900.107,inf,0.999283
"z_u[1,45]",-1.9155,0.0121982,0.427807,-2.63201,-1.92201,-1.17787,1230,inf,1.00155
"z_u[1,46]",0.771886,0.0119744,0.410336,0.0824895,0.753664,1.43485,1174.27,inf,0.99938
"z_u[1,47]",0.057611,0.0113426,0.397801,-0.581105,0.0705499,0.721022,1230,inf,0.999336
"z_u[1,48]",-0.0426016,0.0125445,0.401198,-0.703269,-0.0472671,0.635633,1022.85,inf,1.00002
"z_u[1,49]",0.244682,0.0139599,0.415974,-0.434669,0.249765,0.930696,887.912,inf,1.00033
"z_u[1,50]",2.19517,0.0126404,0.443317,1.45854,2.18739,2.94643,1230,inf,1.0002
"z_u[1,51]",-0.297084,0.0116878,0.409906,-0.976197,-0.284142,0.402234,1230,inf,0.99961
"z_u[1,52]",-0.0255879,0.0129898,0.404193,-0.70388,-0.0193531,0.649762,968.219,inf,0.999394
"z_u[1,53]",2.37812,0.0137623,0.410396,1.70335,2.37483,3.05767,889.257,inf,1.00067
"z_u[1,54]",-1.55595,0.013974,0.41962,-2.27599,-1.55166,-0.871577,901.715,inf,1.00121
"z_u[1,55]",-0.951272,0.0115201,0.404027,-1.60389,-0.951679,-0.261013,1230,inf,1.00027
"z_u[1,56]",-0.767312,0.0112851,0.395783,-1.43079,-0.760114,-0.150236,1230,inf,0.999188
"z_u[1,57]",-0.70754,0.0127365,0.407143,-1.37855,-0.701388,-0.0441832,1021.86,inf,0.999235
"z_u[1,58]",1.74604,0.0130805,0.411827,1.06432,1.74623,2.42304,991.241,inf,0.999414
"z_u[1,59]",-1.14848,0.0119036,0.396097,-1.80007,-1.14005,-0.505129,1107.26,inf,0.999257
"z_u[1,60]",-0.0786991,0.0120381,0.392893,-0.74348,-0.0703867,0.542303,1065.2,inf,0.999194
"z_u[1,61]",-0.791492,0.0122236,0.428699,-1.46089,-0.79297,-0.077439,1230,inf,0.999403
"z_u[1,62]",-0.737864,0.0109775,0.384996,-1.39143,-0.732676,-0.118414,1230,inf,0.999339
"z_u[1,63]",0.833364,0.0116992,0.410307,0.163803,0.84348,1.48277,1230,inf,0.999587
"z_u[1,64]",0.750913,0.0137913,0.398457,0.100232,0.763619,1.41731,834.739,inf,0.999635
"z_u[1,65]",1.60913,0.012365,0.433659,0.937134,1.60428,2.34871,1230,inf,1.00429
"z_u[1,66]",2.20354,0.0148063,0.45179,1.47297,2.21249,2.96473,931.059,inf,1.00815
"z_u[1,67]",-0.810231,0.0122057,0.42253,-1.50514,-0.818911,-0.105591,1198.36,inf,0.999469
"z_u[1,68]",-0.121762,0.0119406,0.418773,-0.821373,-0.106131,0.563243,1230,inf,0.999291
"z_u[1,69]",1.51257,0.0161828,0.448395,0.763774,1.51258,2.21132,767.738,inf,1.00106
"z_u[1,70]",1.44896,0.0125971,0.441797,0.683694,1.46668,2.13236,1230,inf,0.999703
"z_u[1,71]",0.883155,0.0131918,0.40276,0.241234,0.870593,1.56679,932.153,inf,0.999388
"z_u[1,72]",-0.28036,0.0137636,0.434545,-1.01587,-0.279112,0.428985,996.798,inf,0.999259
