name,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
"lp__",-1534.22,0.298967,34.5602,-1591.05,-1533.97,-1477.86,13363.1,inf,0.999986
"accept_stat__",0.964824,0.000245783,0.0521692,0.863186,0.984767,0.999537,45053,inf,0.99999
"stepsize__",0.0375013,1.15107e-14,8.13941e-15,0.0375013,0.0375013,0.0375013,0.500017,inf,0.999978
"treedepth__",6.99987,7.68878e-05,0.01632,7,7,7,45053,inf,1.00001
"n_leapfrog__",126.995,0.00284651,0.604191,127,127,127,45053,inf,0.999988
"divergent__",8.87843e-05,4.43907e-05,0.00942223,0,0,0,45053,inf,1
"energy__",2621.79,0.406506,47.6101,2543.63,2621.59,2700.36,13717.1,inf,0.999993
"offset_e",1.33912,0.000576937,0.108927,1.16288,1.33755,1.52036,35646.6,inf,0.99999
"COND_eta[1]",-0.053551,0.00465192,0.987402,-1.68,-0.0555424,1.5747,45053,inf,0.999979
"COND_eta[2]",0.950247,0.00317762,0.674471,-0.0987207,0.926581,2.09286,45053,inf,0.999987
"COND_eta[3]",-0.277442,0.00446686,0.948122,-1.84721,-0.273698,1.27244,45053,inf,1.00002
"COND_eta[4]",-0.0366943,0.00466916,0.991061,-1.66953,-0.0338794,1.58943,45053,inf,0.999979
"COND_eta[5]",-0.0107757,0.00470117,0.997856,-1.66446,-0.00677034,1.62863,45053,inf,1.00003
"COND_eta[6]",-0.00905815,0.00473445,1.00492,-1.66586,-0.00314043,1.6461,45053,inf,0.999996
"COND_eta[7]",-0.081838,0.00463558,0.983933,-1.69834,-0.0825987,1.52619,45053,inf,0.999982
"COND_eta[8]",-0.0661448,0.00463995,0.984862,-1.69558,-0.0663172,1.55443,45053,inf,0.999993
"COND_eta[9]",-0.176542,0.00361198,0.766668,-1.48099,-0.149187,1.02602,45053,inf,1.00003
"COND_eta[10]",-0.0082002,0.00472321,1.00253,-1.66113,-0.00842571,1.63689,45053,inf,0.999989
"COND_eta[11]",-0.269542,0.00450364,0.955929,-1.8431,-0.27202,1.3049,45053,inf,0.999983
"COND_eta[12]",-0.01484,0.00470157,0.99794,-1.65939,-0.0113632,1.63429,45053,inf,0.999992
"COND_eta[13]",0.374942,0.0047342,1.00487,-1.28078,0.378159,2.02534,45053,inf,1.00002
"COND_eta[14]",-0.125056,0.00460001,0.976385,-1.74011,-0.116352,1.47091,45053,inf,0.999983
"COND_eta[15]",-0.183993,0.00453568,0.96273,-1.76839,-0.184569,1.3891,45053,inf,0.999987
"COND_eta[16]",-0.0707914,0.00462691,0.982094,-1.67831,-0.0716667,1.54783,45053,inf,0.999983
"COND_eta[17]",-0.0214739,0.00473098,1.00418,-1.68017,-0.0176862,1.62728,45053,inf,0.999982
"COND_eta[18]",0.37236,0.00436906,0.927364,-1.18231,0.39013,1.86694,45053,inf,0.999978
"COND_eta[19]",-0.0396867,0.00460585,0.977623,-1.64641,-0.0378785,1.56382,45053,inf,0.99998
"COND_eta[20]",-0.00382423,0.00465736,0.988557,-1.62415,-0.00347353,1.61654,45053,inf,0.99998
"COND_eta[21]",-0.00281911,0.0046641,0.989987,-1.63633,-0.00342919,1.62354,45053,inf,0.999981
"COND_eta[22]",-0.0253795,0.00464235,0.985372,-1.64462,-0.0256903,1.59376,45053,inf,0.999995
"COND_eta[23]",-0.346992,0.00356741,0.757207,-1.62911,-0.315232,0.832101,45053,inf,1.00001
"COND_eta[24]",0.0535006,0.00415944,0.882869,-1.43187,0.0735916,1.47533,45053,inf,0.99998
"COND_eta[25]",-0.0159768,0.00468325,0.994052,-1.65053,-0.0142745,1.61596,45053,inf,0.999997
"CITY_eta[1]",-1.65167,0.00331077,0.702734,-2.82699,-1.63597,-0.532936,45053,inf,1.00002
"CITY_eta[2]",-0.111444,0.00321047,0.681444,-1.27634,-0.0857549,0.96932,45053,inf,0.999978
"CITY_eta[3]",0.702754,0.00265294,0.563104,-0.21702,0.704551,1.61805,45053,inf,0.999978
"CITY_eta[4]",0.471849,0.00287092,0.609373,-0.543778,0.480155,1.45299,45053,inf,0.999981
"CITY_eta[5]",0.277596,0.0029501,0.626179,-0.778528,0.291249,1.2876,45053,inf,1.00001
"CITY_eta[6]",0.126439,0.00243536,0.516922,-0.749191,0.141058,0.945433,45053,inf,1.00017
"CITY_eta[7]",0.154959,0.00306555,0.650684,-0.953872,0.174005,1.19176,45053,inf,0.99998
"CITY_eta[8]",0.881183,0.00264375,0.451667,0.179279,0.860811,1.65472,29187.5,inf,0.999993
"CITY_eta[9]",-0.249406,0.00269093,0.571168,-1.2192,-0.227533,0.649051,45053,inf,1
"CITY_eta[10]",-0.984519,0.00303132,0.643419,-2.0867,-0.957192,0.0214429,45053,inf,0.999978
"CITY_eta[11]",-0.806146,0.00341602,0.725074,-2.04479,-0.783098,0.34229,45053,inf,0.999988
"CITY_eta[12]",1.0975,0.00282329,0.47772,0.36238,1.07008,1.92399,28630.8,inf,0.999978
"YEAR_eta[1]",-0.0218312,0.00398561,0.845974,-1.42144,-0.0133804,1.36711,45053,inf,0.999978
"YEAR_eta[2]",-0.358219,0.0041203,0.874563,-1.77406,-0.370596,1.1168,45053,inf,0.999978
"YEAR_eta[3]",-0.151957,0.00402773,0.854915,-1.55874,-0.15589,1.26037,45053,inf,0.99998
"YEAR_eta[4]",0.38953,0.00404745,0.8591,-1.05348,0.405133,1.76773,45053,inf,1
"YEAR_eta[5]",0.123265,0.00408674,0.867438,-1.31214,0.128578,1.5372,45053,inf,0.999985
"YEAR_eta[6]",0.00377362,0.00471875,1.00159,-1.6431,0.00730155,1.65883,45053,inf,0.99999
"SLIM_eta[1]",-0.0602835,0.00465229,0.987481,-1.67225,-0.0653905,1.56694,45053,inf,0.999978
"SLIM_eta[2]",-0.00694813,0.00467404,0.992097,-1.62982,-0.0165117,1.62707,45053,inf,0.99998
"SLIM_eta[3]",-0.020937,0.0046962,0.996801,-1.66476,-0.0251014,1.61467,45053,inf,0.999978
"SLIM_eta[4]",-0.0197651,0.00466049,0.989221,-1.65082,-0.0153213,1.60708,45053,inf,0.999978
"SLIM_eta[5]",0.00134809,0.00462072,0.98078,-1.61614,-0.00052858,1.60969,45053,inf,0.999984
"SLIM_eta[6]",-0.0573331,0.00422747,0.897309,-1.54773,-0.055097,1.40295,45053,inf,1.00001
"SLIM_eta[7]",-0.038152,0.00411548,0.873539,-1.48045,-0.0348809,1.39902,45053,inf,0.999978
"SLIM_eta[8]",0.079734,0.00399727,0.848447,-1.33236,0.0901048,1.46201,45053,inf,0.999986
"SLIM_eta[9]",-0.198658,0.00440243,0.934446,-1.72131,-0.20492,1.34978,45053,inf,0.999988
"SLIM_eta[10]",0.139665,0.00430705,0.914201,-1.38654,0.152398,1.63219,45053,inf,0.999984
"SLIM_eta[11]",-0.0541634,0.00452724,0.960937,-1.6449,-0.0507412,1.52435,45053,inf,1.00001
"SLIM_eta[12]",-0.192434,0.00444609,0.943712,-1.73165,-0.193733,1.35957,45053,inf,0.999985
"SLIM_eta[13]",-0.0628888,0.00466168,0.989474,-1.69622,-0.0601552,1.56937,45053,inf,0.999986
"SLIM_eta[14]",0.556685,0.00466339,0.989837,-1.11182,0.583946,2.14093,45053,inf,0.999992
"SLIM_eta[15]",-0.0936567,0.00470236,0.998108,-1.73393,-0.0949539,1.54913,45053,inf,0.999979
"SLIM_eta[16]",-0.0156743,0.00471814,1.00146,-1.67419,-0.0166941,1.63557,45053,inf,0.999978
"SIGN_eta[1]",0.259211,0.00350278,0.743488,-0.924472,0.239304,1.51272,45053,inf,1.00002
"SIGN_eta[2]",-0.387356,0.00459743,0.975837,-1.9672,-0.396931,1.25029,45053,inf,0.999989
"SIGN_eta[3]",-0.71297,0.00380176,0.806951,-2.00883,-0.726968,0.645065,45053,inf,0.999982
"SIGN_eta[4]",-0.0151211,0.00353502,0.750333,-1.22853,-0.0214204,1.23028,45053,inf,0.999984
"SIGN_eta[5]",0.22581,0.00466236,0.989617,-1.4043,0.228842,1.84138,45053,inf,0.999978
"SIGN_eta[6]",0.0946543,0.00401515,0.852244,-1.30556,0.0911384,1.49766,45053,inf,1.00002
"SIGN_eta[7]",0.216961,0.00458843,0.973927,-1.39292,0.225206,1.80446,45053,inf,0.999984
"SIGN_eta[8]",0.286672,0.00476515,1.01144,-1.38357,0.29192,1.94777,45053,inf,0.999998
"SIGN_eta[9]",0.0650043,0.00446083,0.946843,-1.51328,0.0747323,1.61437,45053,inf,0.999978
"SIGN_eta[10]",0.190283,0.00459584,0.9755,-1.41852,0.196926,1.77967,45053,inf,1.00001
"SIGN_eta[11]",-0.0116608,0.00471758,1.00134,-1.66965,-0.00942365,1.64092,45053,inf,0.999978
"SIGN_eta[12]",-0.0799137,0.00460934,0.978364,-1.68741,-0.0799914,1.52578,45053,inf,0.999978
"SIGN_eta[13]",-0.0970062,0.00463675,0.984181,-1.71806,-0.0950536,1.52456,45053,inf,0.999979
"SIGN_eta[14]",-0.0192289,0.00470917,0.999553,-1.66094,-0.0202448,1.62249,45053,inf,0.999978
"SIGN_eta[15]",-0.00408411,0.0046827,0.993935,-1.63778,0.00276309,1.62945,45053,inf,0.999989
"SIGN_eta[16]",-0.0237909,0.0046419,0.985275,-1.64572,-0.0258006,1.59034,45053,inf,0.999979
"SIGN_eta[17]",-0.0338817,0.00470068,0.997753,-1.67675,-0.0274184,1.59611,45053,inf,0.999991
"LGHT_eta[1]",-0.193008,0.00212082,0.358364,-0.808009,-0.177739,0.369353,28552.2,inf,1.00007
"LGHT_eta[2]",-0.293206,0.00418834,0.889004,-1.78175,-0.270729,1.12713,45053,inf,0.999989
"LGHT_eta[3]",-1.01023,0.00347548,0.737696,-2.27476,-0.979317,0.148449,45053,inf,1
"LGHT_eta[4]",-0.811365,0.00310835,0.659768,-1.937,-0.787744,0.229499,45053,inf,0.999978
"LGHT_eta[5]",0.321661,0.00310951,0.660016,-0.818269,0.355578,1.34493,45053,inf,0.999988
"LGHT_eta[6]",-0.169759,0.00440628,0.935263,-1.72387,-0.157022,1.33844,45053,inf,0.999983
"LGHT_eta[7]",-0.169636,0.00435467,0.92431,-1.71721,-0.157596,1.32849,45053,inf,0.999978
"LGHT_eta[8]",-0.515827,0.002297,0.348356,-1.11694,-0.498795,0.026616,22999.9,inf,1.00009
"LGHT_eta[9]",0.819824,0.00194273,0.412358,0.151316,0.815607,1.49988,45053,inf,0.999993
"LGHT_eta[10]",0.660398,0.00207545,0.374778,0.0654034,0.653126,1.28632,32608.2,inf,1.00002
"LGHT_eta[11]",0.196925,0.00312924,0.664204,-0.931424,0.22359,1.23797,45053,inf,0.999979
"LGHT_eta[12]",-0.0710731,0.00224727,0.476998,-0.890231,-0.0459834,0.668577,45053,inf,1.00006
"LGHT_eta[13]",-0.697345,0.00371923,0.789433,-2.05169,-0.666833,0.53777,45053,inf,0.999989
"LGHT_eta[14]",1.53153,0.00262641,0.557474,0.618485,1.53146,2.44027,45053,inf,0.999994
"LGHT_eta[15]",1.72037,0.00293655,0.623303,0.691888,1.72257,2.73542,45053,inf,1.00003
"LGHT_eta[16]",0.315762,0.00373981,0.7938,-1.04102,0.348807,1.55921,45053,inf,0.999989
"LGHT_eta[17]",-0.0621619,0.00454598,0.964916,-1.66916,-0.0520724,1.50763,45053,inf,0.99998
"LGHT_eta[18]",-0.0165234,0.00470488,0.998644,-1.67117,-0.0135487,1.61931,45053,inf,0.999997
"LGHT_eta[19]",-0.580888,0.00385627,0.81852,-1.97757,-0.553025,0.706597,45053,inf,0.999988
"LGHT_eta[20]",0.129373,0.00242322,0.514346,-0.745527,0.14905,0.936066,45053,inf,0.999992
"LGHT_eta[21]",-0.282828,0.0022258,0.366897,-0.91783,-0.263642,0.28517,27171.8,inf,1.0001
"LGHT_eta[22]",-0.840193,0.00360659,0.765523,-2.14851,-0.811339,0.366446,45053,inf,0.99998
"LGHT_eta[23]",1.65292,0.00338394,0.718265,0.427678,1.67879,2.77897,45053,inf,0.999985
"LGHT_eta[24]",-0.475077,0.0039582,0.840155,-1.90472,-0.446762,0.854255,45053,inf,0.999984
"LGHT_eta[25]",0.828806,0.00214939,0.456223,0.0759499,0.830194,1.57206,45053,inf,1.00006
"LGHT_eta[26]",-0.0758756,0.00452716,0.960922,-1.67399,-0.060458,1.48776,45053,inf,0.999978
"LGHT_eta[27]",-0.503027,0.00397722,0.844193,-1.93058,-0.472993,0.826658,45053,inf,0.999983
"LGHT_eta[28]",-1.00683,0.00269374,0.571765,-1.99748,-0.971022,-0.131925,45053,inf,0.999979
"LGHT_eta[29]",-0.86868,0.00278773,0.436641,-1.6343,-0.83713,-0.212317,24532.9,inf,1.00013
"LGHT_eta[30]",-0.732825,0.0037178,0.789129,-2.08551,-0.700467,0.51148,45053,inf,0.999979
"LGHT_eta[31]",-0.175379,0.004404,0.93478,-1.7285,-0.161952,1.33099,45053,inf,0.999978
"LGHT_eta[32]",-0.115663,0.00444185,0.942814,-1.68681,-0.104744,1.40599,45053,inf,1.00001
"LGHT_eta[33]",0.324184,0.00257168,0.545856,-0.594276,0.336732,1.19145,45053,inf,0.999998
"LGHT_eta[34]",0.674516,0.00195437,0.349548,0.11449,0.6681,1.25418,31989,inf,0.999978
"LGHT_eta[35]",0.411564,0.00386668,0.82073,-0.990171,0.448204,1.70418,45053,inf,0.99999
"LGHT_eta[36]",-0.0801548,0.00452893,0.961297,-1.67988,-0.0691346,1.47881,45053,inf,0.999999
"BLTE_eta[1]",0.000914447,0.00471506,1.0008,-1.64836,0.00031411,1.63925,45053,inf,0.999985
"BLTE_eta[2]",-0.10032,0.00460052,0.976493,-1.71149,-0.0942932,1.49498,45053,inf,0.999986
"BLTE_eta[3]",-0.0363513,0.00465403,0.98785,-1.67575,-0.0329957,1.5866,45053,inf,0.999986
"BLTE_eta[4]",-0.0515321,0.004625,0.981687,-1.67572,-0.0517917,1.55464,45053,inf,0.999978
"BLTE_eta[5]",-0.0278475,0.00466692,0.990587,-1.67104,-0.0265575,1.60499,45053,inf,0.999991
"BLTE_eta[6]",-0.0157607,0.00470853,0.999419,-1.65602,-0.0209463,1.62453,45053,inf,0.999985
"BLTE_eta[7]",-0.00771463,0.00468837,0.995138,-1.63932,-0.00328403,1.61678,45053,inf,1.00001
"BLTE_eta[8]",-0.227461,0.00444825,0.944173,-1.7964,-0.218213,1.31728,45053,inf,0.99998
"BLTE_eta[9]",-0.931523,0.00387902,0.823349,-2.30518,-0.914954,0.394582,45053,inf,0.999984
"BLTE_eta[10]",-0.417297,0.00336314,0.713851,-1.63449,-0.394168,0.714833,45053,inf,0.999996
"BLTE_eta[11]",0.241041,0.00434074,0.921353,-1.28975,0.253464,1.72941,45053,inf,0.999994
"BLTE_eta[12]",-0.0554726,0.00462685,0.982081,-1.68045,-0.0526078,1.5544,45053,inf,0.999998
"BLTE_eta[13]",-0.428989,0.00424277,0.900557,-1.93116,-0.414873,1.03169,45053,inf,0.999988
"BLTE_eta[14]",1.05165,0.00235706,0.500302,0.234856,1.05393,1.86514,45053,inf,0.999978
"BLTE_eta[15]",-0.120931,0.00455895,0.967668,-1.72758,-0.118622,1.46845,45053,inf,0.999978
"BLTE_eta[16]",1.4161,0.00211284,0.448465,0.720607,1.39543,2.18634,45053,inf,1.00002
"BLTE_eta[17]",-0.34896,0.00433342,0.919797,-1.87698,-0.340927,1.15272,45053,inf,0.999978
"BLTE_eta[18]",0.116884,0.00384197,0.815484,-1.25935,0.140603,1.41685,45053,inf,0.99999
"BLTE_eta[19]",-0.0999575,0.00457863,0.971845,-1.71869,-0.0933194,1.49629,45053,inf,0.999991
"BLTE_eta[20]",-0.557432,0.00414904,0.880663,-2.02904,-0.544824,0.871552,45053,inf,0.999978
"BLTE_eta[21]",-0.350007,0.00431332,0.915532,-1.87071,-0.338321,1.1367,45053,inf,0.999989
"BLTE_eta[22]",0.333555,0.00398036,0.844858,-1.0988,0.353261,1.6855,45053,inf,0.999978
"BLTE_eta[23]",-0.0816726,0.00460938,0.978373,-1.69192,-0.0796448,1.52282,45053,inf,0.99998
"BLTE_eta[24]",-0.555123,0.00374368,0.794622,-1.88452,-0.538331,0.724532,45053,inf,0.999979
"BLTE_eta[25]",-0.0443934,0.00462052,0.980737,-1.65391,-0.0437469,1.5626,45053,inf,0.999978
"BLTE_eta[26]",0.515278,0.00375766,0.797589,-0.835496,0.542858,1.78101,45053,inf,0.999984
"BLTE_eta[27]",0.256932,0.00338625,0.718756,-0.961879,0.282807,1.39271,45053,inf,0.999985
"BLTE_eta[28]",-0.102114,0.00457598,0.971284,-1.70742,-0.0932113,1.49788,45053,inf,0.999979
"BLTE_eta[29]",-0.402861,0.0043893,0.93166,-1.9352,-0.402784,1.11709,45053,inf,0.999979
"BLTE_eta[30]",-0.170132,0.00453396,0.962364,-1.78656,-0.159376,1.39474,45053,inf,1
"BLTE_eta[31]",-0.218357,0.00442284,0.938778,-1.77716,-0.211899,1.30833,45053,inf,0.999978
"BLTE_eta[32]",0.395374,0.00450161,0.955498,-1.19515,0.403596,1.94902,45053,inf,0.999979
"BLTE_eta[33]",-0.000603144,0.00474381,1.00691,-1.65915,0.000180332,1.6447,45053,inf,0.999978
"BLTE_eta[34]",0.138397,0.00361059,0.766374,-1.15612,0.158734,1.36102,45053,inf,0.999994
"BLTE_eta[35]",-0.0908023,0.00458598,0.973406,-1.70336,-0.0863834,1.49677,45053,inf,0.999982
"BLTE_eta[36]",0.54281,0.00377485,0.801238,-0.828035,0.570742,1.81815,45053,inf,0.999979
"BLTE_eta[37]",0.281598,0.00434555,0.922372,-1.2674,0.297227,1.7766,45053,inf,0.999979
"BLTE_eta[38]",-0.220743,0.00389274,0.826261,-1.61048,-0.202731,1.10289,45053,inf,0.999984
"BLTE_eta[39]",-0.176351,0.00448923,0.95287,-1.75512,-0.170196,1.37327,45053,inf,0.999978
