name,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
"lp__",-2387.83,0.3535,42.7753,-2458.66,-2387.63,-2318.1,14642.2,inf,1.00007
"accept_stat__",0.945665,0.000394966,0.0776367,0.790184,0.975993,0.99927,38638,inf,0.999976
"stepsize__",0.0309496,8.20859e-15,5.80446e-15,0.0309496,0.0309496,0.0309496,0.500019,inf,0.999974
"treedepth__",6.99966,0.000148669,0.0292231,7,7,7,38638,inf,1.00004
"n_leapfrog__",126.988,0.00505461,0.993561,127,127,127,38638,inf,1.00002
"divergent__",0.000181169,6.84701e-05,0.0134589,0,0,0,38638,inf,1.00001
"energy__",4111.4,0.51163,59.4162,4014.41,4110.98,4210.05,13486.5,inf,1.00013
"offset_e",1.22071,0.000475515,0.0692079,1.1091,1.21906,1.33726,21182.8,inf,0.999994
"COND_eta[1]",-0.0772174,0.00494871,0.972745,-1.67494,-0.0727492,1.51019,38638,inf,1.00003
"COND_eta[2]",1.52962,0.00357587,0.57447,0.655512,1.4959,2.52496,25808.9,inf,1.00032
"COND_eta[3]",-0.546085,0.00442227,0.869265,-1.99452,-0.52934,0.851332,38638,inf,0.999994
"COND_eta[4]",-0.105812,0.00490467,0.964089,-1.70808,-0.1009,1.46844,38638,inf,1.00001
"COND_eta[5]",-0.0269547,0.00499277,0.981407,-1.64802,-0.0207086,1.5838,38638,inf,0.999985
"COND_eta[6]",-0.0140521,0.00503835,0.990367,-1.65267,-0.00934394,1.59458,38638,inf,0.999975
"COND_eta[7]",-0.146987,0.00484729,0.952809,-1.72212,-0.137203,1.40582,38638,inf,1.00001
"COND_eta[8]",-0.178119,0.00482501,0.94843,-1.75284,-0.169094,1.37103,38638,inf,0.999979
"COND_eta[9]",0.415633,0.00368758,0.608272,-0.624873,0.443898,1.35824,27209,inf,0.999985
"COND_eta[10]",-0.000678715,0.00508115,0.998778,-1.63402,4.79492e-05,1.64603,38638,inf,0.999982
"COND_eta[11]",-0.507188,0.00448147,0.880902,-1.96768,-0.493663,0.916831,38638,inf,1.00001
"COND_eta[12]",-0.0529205,0.00502055,0.986866,-1.69249,-0.0412782,1.56264,38638,inf,0.999987
"COND_eta[13]",0.455437,0.00477026,0.937668,-1.13024,0.474141,1.97177,38638,inf,1
"COND_eta[14]",-0.265279,0.00470414,0.924671,-1.80633,-0.257064,1.24049,38638,inf,0.999981
"COND_eta[15]",-0.327132,0.00465889,0.915777,-1.84802,-0.315728,1.14763,38638,inf,0.999976
"COND_eta[16]",-0.164043,0.00483704,0.950794,-1.74462,-0.158325,1.38562,38638,inf,0.99998
"COND_eta[17]",-0.0478875,0.00501419,0.985617,-1.69061,-0.0462331,1.56688,38638,inf,0.999991
"COND_eta[18]",0.491194,0.00420026,0.825626,-0.937275,0.524045,1.80135,38638,inf,0.999977
"COND_eta[19]",-0.0918318,0.00495572,0.974125,-1.70422,-0.0852384,1.50184,38638,inf,0.999978
"COND_eta[20]",-0.00982015,0.00506757,0.996109,-1.63346,-0.0108247,1.62771,38638,inf,0.999997
"COND_eta[21]",-0.0152809,0.00511711,1.00585,-1.66366,-0.0155445,1.62875,38638,inf,0.999983
"COND_eta[22]",-0.0525687,0.00497964,0.978825,-1.66511,-0.0483234,1.55616,38638,inf,0.999975
"COND_eta[23]",-0.141765,0.00408342,0.65543,-1.29501,-0.096767,0.850257,25763.5,inf,0.999976
"COND_eta[24]",-0.185077,0.00390457,0.767504,-1.49639,-0.154642,1.02306,38638,inf,1.00018
