name,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
"lp__",-1371.22,0.0263576,5.0978,-1380.09,-1370.93,-1363.37,37407.1,33.5216,0.999999
"accept_stat__",0.947593,0.000213748,0.0675931,0.811731,0.972054,0.999282,100000,89.613,1.00004
"stepsize__",0.182408,8.03885e-14,5.68437e-14,0.182408,0.182408,0.182408,0.500008,0.000448072,0.99999
"treedepth__",4.73658,0.00148116,0.44049,4,5,5,88444.2,79.2575,1.00003
"n_leapfrog__",28.3459,0.0202569,6.0179,15,31,31,88256.1,79.0889,1.00004
"divergent__",0,0,0,0,0,0,100000,89.613,-nan
"energy__",1393.24,0.0376362,6.92188,1382.44,1392.9,1405.14,33824.9,30.3115,0.999991
"mu_pr[1]",-1.76022,0.00127664,0.259108,-2.25698,-1.73261,-1.38281,41192.9,36.9142,1.00001
"mu_pr[2]",-0.736151,0.00241168,0.357212,-1.07883,-0.817914,-0.100175,21938.8,19.66,0.999996
"sigma[1]",0.126658,0.00036549,0.0914669,0.010424,0.110402,0.29945,62629.3,56.124,0.999991
"sigma[2]",0.102629,0.000272549,0.0777854,0.00803421,0.0875454,0.250839,81453,72.9925,0.999995
"A_pr[1]",0.0148463,0.00305418,0.965818,-1.57618,0.0199779,1.60657,100000,89.613,0.999992
"A_pr[2]",-0.173193,0.00298538,0.944061,-1.71541,-0.177764,1.3918,100000,89.613,0.99999
"A_pr[3]",0.128715,0.00310867,0.983048,-1.49613,0.126286,1.7491,100000,89.613,0.99999
"A_pr[4]",-0.0138546,0.00299742,0.947868,-1.57755,-0.0159546,1.54244,100000,89.613,0.999993
"A_pr[5]",0.0177002,0.00299874,0.948284,-1.53865,0.0156334,1.58142,100000,89.613,0.999993
"A_pr[6]",-0.0163025,0.00294208,0.930367,-1.54714,-0.0161331,1.51532,100000,89.613,0.99999
"A_pr[7]",-0.0816855,0.00298571,0.944164,-1.62442,-0.0849114,1.47599,100000,89.613,0.999995
"A_pr[8]",-0.0205584,0.00305102,0.964817,-1.61014,-0.0192948,1.56782,100000,89.613,1.00001
"A_pr[9]",0.26311,0.00294947,0.932704,-1.28106,0.270851,1.78686,100000,89.613,0.99999
"A_pr[10]",-0.735181,0.00316057,0.999459,-2.29943,-0.777868,0.976828,100000,89.613,0.99999
"A_pr[11]",-0.0609826,0.00304931,0.964275,-1.64532,-0.0607636,1.52542,100000,89.613,0.99999
"A_pr[12]",-0.371012,0.00303588,0.960031,-1.91564,-0.393025,1.25232,100000,89.613,0.999998
"A_pr[13]",0.00232917,0.00298554,0.944111,-1.55073,0.000119101,1.56133,100000,89.613,0.999993
"A_pr[14]",0.271535,0.00310444,0.981711,-1.35173,0.28368,1.86931,100000,89.613,0.99999
"A_pr[15]",-0.0612695,0.00300478,0.950195,-1.62233,-0.0650957,1.51426,100000,89.613,0.999992
"A_pr[16]",0.0932505,0.00300586,0.950535,-1.48068,0.0922158,1.65453,100000,89.613,0.999991
"A_pr[17]",0.307945,0.0031493,0.995895,-1.35453,0.319089,1.91466,100000,89.613,0.999991
"A_pr[18]",0.29932,0.00320053,1.01209,-1.35726,0.297762,1.96832,100000,89.613,0.999993
"A_pr[19]",-0.0675255,0.00310306,0.981272,-1.67537,-0.0737355,1.552,100000,89.613,0.999991
"A_pr[20]",-0.036394,0.00303932,0.961117,-1.62355,-0.0303772,1.53758,100000,89.613,0.999995
"tau_pr[1]",0.0263622,0.00309569,0.978944,-1.58843,0.0283178,1.63045,100000,89.613,0.999992
"tau_pr[2]",-0.00285378,0.00306944,0.970642,-1.60231,-0.000520731,1.59317,100000,89.613,0.999991
"tau_pr[3]",-0.00356737,0.00301213,0.952518,-1.57406,-0.00288695,1.55751,100000,89.613,1.00001
"tau_pr[4]",-0.00258157,0.00306564,0.96944,-1.60081,-0.00199683,1.59005,100000,89.613,0.99999
"tau_pr[5]",-0.0573289,0.00296965,0.939085,-1.60222,-0.0575616,1.49,100000,89.613,0.99999
"tau_pr[6]",0.00797644,0.00301483,0.953373,-1.56671,0.0121969,1.56981,100000,89.613,0.999992
"tau_pr[7]",-0.0430934,0.00305174,0.965044,-1.62583,-0.0436864,1.55285,100000,89.613,0.999997
"tau_pr[8]",-0.0186797,0.00310547,0.982037,-1.64018,-0.0179159,1.60019,100000,89.613,0.999997
"tau_pr[9]",0.263835,0.00304693,0.963523,-1.344,0.277175,1.82645,100000,89.613,0.999995
"tau_pr[10]",-0.510513,0.00317418,1.00376,-2.12508,-0.53233,1.17506,100000,89.613,0.999996
"tau_pr[11]",0.0785348,0.0031465,0.995011,-1.56614,0.0822151,1.71738,100000,89.613,0.99999
"tau_pr[12]",-0.276075,0.00301334,0.952902,-1.83076,-0.289599,1.30917,100000,89.613,0.999999
"tau_pr[13]",0.00323323,0.00303072,0.958398,-1.57356,0.00144679,1.57549,100000,89.613,0.999993
"tau_pr[14]",0.190435,0.0031051,0.981918,-1.43362,0.198471,1.79004,100000,89.613,0.999994
"tau_pr[15]",-0.0130158,0.00309139,0.977583,-1.62976,-0.0116466,1.59304,100000,89.613,1
"tau_pr[16]",0.0812848,0.00304579,0.963164,-1.51132,0.0881049,1.65854,100000,89.613,1
"tau_pr[17]",0.208025,0.00313984,0.992905,-1.4265,0.212568,1.83657,100000,89.613,1.00003
"tau_pr[18]",0.159961,0.00310782,0.982779,-1.4687,0.165738,1.7733,100000,89.613,0.999992
"tau_pr[19]",-0.0850252,0.0030884,0.976639,-1.68934,-0.0850561,1.51962,100000,89.613,1
"tau_pr[20]",-0.0817438,0.00302623,0.956978,-1.65338,-0.0810547,1.49177,100000,89.613,0.99999
"A[1]",0.0455164,8.58162e-05,0.0271375,0.0110604,0.041013,0.0949046,100000,89.613,1.00001
"A[2]",0.0418549,7.4813e-05,0.0236579,0.0108401,0.0381387,0.0852369,100000,89.613,0.999998
"A[3]",0.0486707,9.85599e-05,0.0311674,0.0110083,0.0427728,0.105707,100000,89.613,0.999991
"A[4]",0.0448381,8.23366e-05,0.0260371,0.0111003,0.0406423,0.0922425,100000,89.613,1.00001
"A[5]",0.0461509,8.96869e-05,0.0283615,0.0108704,0.0412383,0.0977256,100000,89.613,0.999991
"A[6]",0.0445502,7.85771e-05,0.0248483,0.011163,0.0408729,0.0900729,100000,89.613,0.999991
"A[7]",0.043837,8.14208e-05,0.0257475,0.0108284,0.0395379,0.0908483,100000,89.613,1
"A[8]",0.0450951,8.61901e-05,0.0272557,0.0108664,0.0404118,0.0946273,100000,89.613,1.00002
"A[9]",0.0496062,9.18091e-05,0.0290326,0.0123299,0.0447587,0.102726,100000,89.613,1.00001
"A[10]",0.0351554,6.91272e-05,0.0218599,0.00826742,0.0308411,0.0763779,100000,89.613,1
"A[11]",0.0437326,7.85838e-05,0.0248504,0.0111305,0.0398103,0.0896127,100000,89.613,0.999997
"A[12]",0.0397813,7.48423e-05,0.0236672,0.00955206,0.0356856,0.0837233,100000,89.613,1.00001
"A[13]",0.0451015,8.29374e-05,0.0262271,0.0111344,0.0408887,0.0925729,100000,89.613,1
"A[14]",0.050456,9.78581e-05,0.0309454,0.0120844,0.0448871,0.106978,100000,89.613,1.00002
