name,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
"lp__",-2799.45,0.0388776,5.80974,-2809.51,-2799.12,-2790.49,22331.3,6.59006,0.999999
"accept_stat__",0.81494,0.0108913,0.260868,0.0854124,0.924733,0.998943,573.702,0.169302,1.00112
"stepsize__",0.231612,4.80055e-14,3.39452e-14,0.231612,0.231612,0.231612,0.500008,0.000147554,0.99999
"treedepth__",3.9839,0.00737535,0.170003,4,4,4,531.311,0.156792,1.00029
"n_leapfrog__",15.0788,0.0197935,2.05798,15,15,15,10810.2,3.19013,1.00026
"divergent__",0.00538,0.00266834,0.0731513,0,0,0,751.558,0.221787,1.00033
"energy__",2829.46,0.0489942,7.99204,2816.93,2829.1,2843.11,26608.8,7.85236,1.00003
"mu_pr[1]",0.538907,0.00624711,0.444101,-0.150313,0.52017,1.29901,5053.66,1.49135,1.00005
"mu_pr[2]",-0.784391,0.00744903,0.84118,-1.8228,-0.948196,1.00994,12752,3.76316,1.00035
"mu_pr[3]",0.0788703,0.026436,0.939505,-1.50797,0.0673576,1.66224,1263.01,0.372718,1.00029
"mu_pr[4]",-0.512604,0.0187408,0.860358,-1.84687,-0.533406,0.955107,2107.58,0.621955,1.00006
"mu_pr[5]",1.086,0.0245814,0.408483,0.209819,1.17731,1.4563,276.144,0.0814911,1.00026
"sigma[1]",0.146722,0.0003516,0.111186,0.0115443,0.124204,0.360872,100000,29.5104,0.999998
"sigma[2]",0.158617,0.00037974,0.120084,0.0119668,0.133951,0.388755,100000,29.5104,0.99999
"sigma[3]",0.148739,0.000366057,0.115757,0.0116829,0.122659,0.374219,100000,29.5104,1.00002
"sigma[4]",0.161102,0.000381754,0.120721,0.0127247,0.13758,0.392563,100000,29.5104,0.999991
"sigma[5]",0.123963,0.000620331,0.0950302,0.00939815,0.104085,0.306186,23468,6.92549,0.999991
"Arew_pr[1]",-0.0801413,0.00311726,0.985765,-1.68881,-0.0845723,1.54104,100000,29.5104,0.999991
"Arew_pr[2]",-0.0192193,0.0031077,0.98274,-1.63301,-0.023508,1.60249,100000,29.5104,0.999994
"Arew_pr[3]",0.00726436,0.00321869,1.01784,-1.66461,0.00379017,1.68251,100000,29.5104,1.0001
"Arew_pr[4]",-0.022585,0.00665458,0.985833,-1.65102,-0.0224759,1.59756,21946.5,6.4765,1.00011
"Arew_pr[5]",0.0644337,0.00313114,0.990153,-1.56698,0.0644737,1.69221,100000,29.5104,1.00002
"Arew_pr[6]",0.0150475,0.00559356,0.990827,-1.60506,0.0143473,1.64712,31377.6,9.25964,0.99999
"Arew_pr[7]",0.0241977,0.00572527,0.98447,-1.60871,0.0309829,1.63905,29567.4,8.72545,0.999991
"Arew_pr[8]",-0.0256829,0.0031262,0.988591,-1.65644,-0.0226986,1.5982,100000,29.5104,0.99999
"Arew_pr[9]",0.0203743,0.00315352,0.997231,-1.62467,0.0175466,1.65455,100000,29.5104,1.00001
"Arew_pr[10]",0.113527,0.00311558,0.985232,-1.51158,0.11671,1.7328,100000,29.5104,1.00001
"Apun_pr[1]",0.0293807,0.00316521,1.00093,-1.62036,0.0292008,1.66913,100000,29.5104,1.00005
"Apun_pr[2]",-0.044717,0.00314552,0.994702,-1.66932,-0.0485475,1.5918,100000,29.5104,1.00001
"Apun_pr[3]",-0.0372666,0.00580354,1.01613,-1.7084,-0.0422593,1.64136,30656,9.0467,0.999996
"Apun_pr[4]",-0.0330405,0.00313652,0.991855,-1.67112,-0.0347803,1.60367,100000,29.5104,0.999991
"Apun_pr[5]",-0.0163013,0.00314363,0.994102,-1.66328,-0.0173685,1.6147,100000,29.5104,0.999991
"Apun_pr[6]",0.0773053,0.00313989,0.992919,-1.55942,0.079222,1.70801,100000,29.5104,1.00002
"Apun_pr[7]",0.0271695,0.00319266,1.00961,-1.63239,0.0226012,1.6993,100000,29.5104,1.00001
"Apun_pr[8]",-0.106776,0.00314003,0.992965,-1.73319,-0.108665,1.52309,100000,29.5104,1.00001
"Apun_pr[9]",-0.0354649,0.00317511,1.00406,-1.6871,-0.0313052,1.61302,100000,29.5104,0.99999
"Apun_pr[10]",-0.00251435,0.00312411,0.98793,-1.62584,-0.00124373,1.62313,100000,29.5104,1.00003
"R_pr[1]",0.0595488,0.00313439,0.99118,-1.57253,0.0635288,1.68348,100000,29.5104,1.00007
"R_pr[2]",0.074072,0.00312119,0.987008,-1.55484,0.0755157,1.69218,100000,29.5104,1.00012
"R_pr[3]",-0.0766867,0.00317834,1.00508,-1.72808,-0.0769612,1.58556,100000,29.5104,1.00007
"R_pr[4]",0.0293209,0.00313712,0.992045,-1.60947,0.0316783,1.6578,100000,29.5104,0.999998
"R_pr[5]",-0.0557382,0.00316362,1.00042,-1.69482,-0.0561649,1.59345,100000,29.5104,0.999994
"R_pr[6]",0.00249319,0.00314565,0.994743,-1.63926,0.00195516,1.63821,100000,29.5104,1.00008
"R_pr[7]",-0.0149657,0.00315947,0.999111,-1.6535,-0.0121955,1.62599,100000,29.5104,0.999996
"R_pr[8]",0.030445,0.00551859,0.990376,-1.6004,0.0312899,1.65488,32206.5,9.50426,0.999993
"R_pr[9]",0.038384,0.0031312,0.990171,-1.58673,0.0347172,1.67307,100000,29.5104,1.00009
"R_pr[10]",-0.0588594,0.00311945,0.986457,-1.67687,-0.0644834,1.57395,100000,29.5104,1.00002
"P_pr[1]",0.0688162,0.00315418,0.997439,-1.58323,0.0775167,1.69069,100000,29.5104,0.999992
"P_pr[2]",-0.0338916,0.00510601,0.991142,-1.67231,-0.0289354,1.59979,37679.8,11.1195,1.00003
"P_pr[3]",-0.106527,0.0031983,1.01139,-1.76793,-0.107956,1.56333,100000,29.5104,1.00005
"P_pr[4]",0.000823009,0.00313584,0.991641,-1.62988,0.00136969,1.62932,100000,29.5104,1.00004
"P_pr[5]",-0.00298491,0.00313859,0.992508,-1.63348,-0.00807714,1.63862,100000,29.5104,1.00004
"P_pr[6]",0.145583,0.00317946,1.00543,-1.51989,0.146889,1.7989,100000,29.5104,0.999993
"P_pr[7]",-0.0551104,0.00316988,1.0024,-1.71083,-0.0557709,1.60018,100000,29.5104,1.00003
"P_pr[8]",-0.019547,0.00317406,1.00372,-1.67209,-0.0201887,1.62831,100000,29.5104,0.999991
"P_pr[9]",-0.119882,0.00314719,0.995229,-1.7443,-0.123353,1.52463,100000,29.5104,1
"P_pr[10]",0.0667186,0.00314778,0.995415,-1.57583,0.0722054,1.69565,100000,29.5104,0.999991
"xi_pr[1]",-0.185455,0.00516332,0.957714,-1.73384,-0.199498,1.40963,34404.4,10.1529,1
"xi_pr[2]",-0.106661,0.00675521,0.955806,-1.65043,-0.118539,1.48001,20019.9,5.90794,1.00007
"xi_pr[3]",0.381322,0.00710638,0.975601,-1.23103,0.392109,1.96545,18847.2,5.56188,1.00001
"xi_pr[4]",0.0210039,0.0056851,0.956858,-1.55078,0.0160501,1.60294,28328.2,8.35974,1.00009
"xi_pr[5]",0.197802,0.00301814,0.95442,-1.37925,0.194408,1.77061,100000,29.5104,1.00001
"xi_pr[6]",-0.331732,0.00311609,0.985393,-1.93406,-0.340852,1.30521,100000,29.5104,0.99999
"xi_pr[7]",0.051033,0.00695763,0.963259,-1.52417,0.0514018,1.63854,19167.4,5.65638,1.00001
"xi_pr[8]",0.0219263,0.00537386,0.952518,-1.53598,0.0128356,1.60005,31417.7,9.27147,0.999994
"xi_pr[9]",0.0663231,0.00609119,0.962923,-1.51159,0.0632757,1.65732,24990.7,7.37486,1.00007
"xi_pr[10]",0.0248786,0.00304972,0.964406,-1.55792,0.023463,1.61507,100000,29.5104,0.999999
"Arew[1]",0.681179,0.00222529,0.147581,0.420788,0.692289,0.904355,4398.29,1.29795,1.00005
"Arew[2]",0.685407,0.00221486,0.145878,0.427375,0.697185,0.906412,4338.01,1.28016,1.00006
"Arew[3]",0.685138,0.00229547,0.154842,0.409952,0.697536,0.916889,4550.21,1.34278,1.00002
"Arew[4]",0.684973,0.00222903,0.148227,0.422657,0.697081,0.908809,4422.04,1.30496,1.00015
"Arew[5]",0.690801,0.00220358,0.148311,0.427491,0.702427,0.913823,4529.91,1.33679,1.00011
"Arew[6]",0.686764,0.00208656,0.148703,0.423253,0.698664,0.910567,5078.98,1.49883,1.00008
"Arew[7]",0.687995,0.00228636,0.149892,0.420952,0.700809,0.912183,4298.02,1.26836,1.00007
"Arew[8]",0.684806,0.00223313,0.147655,0.423044,0.696511,0.906832,4371.89,1.29016,1.00003
"Arew[9]",0.687336,0.00207547,0.148392,0.425829,0.696825,0.914642,5111.99,1.50857,1.00008
"Arew[10]",0.694019,0.00215237,0.147689,0.432996,0.705629,0.916026,4708.29,1.38943,1.00001
"Apun[1]",0.258533,0.0020219,0.236884,0.0311786,0.174317,0.84659,13726.2,4.05067,1.00024
"Apun[2]",0.254011,0.00205558,0.236844,0.0288292,0.170554,0.843613,13275.6,3.91769,1.00029
"Apun[3]",0.256264,0.00204456,0.239514,0.026368,0.171136,0.850592,13723.4,4.04982,1.00032
"Apun[4]",0.254761,0.00199976,0.235842,0.0307498,0.171395,0.84188,13908.6,4.10449,1.00031
"Apun[5]",0.255514,0.00202687,0.23718,0.0294571,0.171536,0.848102,13693.1,4.04088,1.00029
"Apun[6]",0.259305,0.00199078,0.234595,0.0338521,0.177167,0.846306,13886.5,4.09795,1.00035
