name,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
"lp__",-2808.06,0.0414749,6.23781,-2818.89,-2807.68,-2798.41,22620.1,inf,0.999993
"accept_stat__",0.863302,0.00192742,0.211576,0.313251,0.949934,0.998113,12049.8,inf,1.0002
"stepsize__",0.152713,9.028e-16,6.38383e-16,0.152713,0.152713,0.152713,0.500011,inf,0.999986
"treedepth__",4.99308,0.000475577,0.0882628,5,5,5,34444.1,inf,0.999986
"n_leapfrog__",30.9798,0.00425856,1.1076,31,31,31,67645.4,inf,1.00008
"divergent__",0.000314097,6.69557e-05,0.0177201,0,0,0,70042,inf,0.999996
"energy__",2844.09,0.0577139,8.67429,2830.44,2843.74,2858.89,22589.5,inf,0.999989
"mu_pr[1]",-0.252172,0.00336948,0.671892,-1.40071,-0.237138,0.825854,39762.4,inf,1.00001
"mu_pr[2]",-0.510861,0.00384717,1.01817,-2.01908,-0.613471,1.31269,70042,inf,0.999989
"mu_pr[3]",0.250942,0.00524793,0.881584,-1.18529,0.231293,1.74425,28219.6,inf,1.00003
"mu_pr[4]",-0.68761,0.00437568,0.920169,-2.0253,-0.792584,0.992963,44222.6,inf,1.00005
"mu_pr[5]",0.93656,0.00554024,0.489566,-0.121296,1.0732,1.37922,7808.47,inf,1.00026
"mu_pr[6]",1.02576,0.0022416,0.593249,0.126587,0.991147,2.05603,70042,inf,0.999987
"sigma[1]",0.145654,0.000426326,0.112829,0.0109588,0.120953,0.36492,70042,inf,1.00002
"sigma[2]",0.15619,0.000446811,0.118251,0.0125005,0.13169,0.385129,70042,inf,1.00002
"sigma[3]",0.148374,0.000434669,0.115037,0.0109198,0.123172,0.372084,70042,inf,1
"sigma[4]",0.154822,0.00044572,0.117962,0.0119499,0.130664,0.380611,70042,inf,0.999987
"sigma[5]",0.115128,0.000344237,0.0911039,0.00828986,0.0947884,0.292285,70042,inf,0.999986
"sigma[6]",0.155971,0.000447847,0.118525,0.0118931,0.13161,0.38321,70042,inf,0.999986
"Arew_pr[1]",0.0392552,0.00377764,0.999768,-1.61142,0.0367048,1.68634,70042,inf,1.00004
"Arew_pr[2]",0.0416101,0.0037282,0.986685,-1.58651,0.0468405,1.66456,70042,inf,0.999989
"Arew_pr[3]",-0.092892,0.00380064,1.00586,-1.72975,-0.0991342,1.57096,70042,inf,0.999987
"Arew_pr[4]",-0.00138393,0.0037377,0.989199,-1.62843,2.82894e-05,1.63324,70042,inf,0.999992
"Arew_pr[5]",-0.0645339,0.00373499,0.988481,-1.69504,-0.0638731,1.56135,70042,inf,1
"Arew_pr[6]",0.0240776,0.00373293,0.987936,-1.60645,0.0260166,1.65478,70042,inf,0.999987
"Arew_pr[7]",-0.0140982,0.00378653,1.00212,-1.65664,-0.0145008,1.63232,70042,inf,0.999986
"Arew_pr[8]",-0.00101891,0.00375333,0.993337,-1.62927,-0.00051481,1.63748,70042,inf,1
"Arew_pr[9]",0.0397708,0.00369454,0.977775,-1.5714,0.0372548,1.65464,70042,inf,0.999989
"Arew_pr[10]",0.00484764,0.00381998,1.01097,-1.65841,0.00160255,1.67483,70042,inf,0.99999
"Apun_pr[1]",0.0477384,0.00375664,0.994211,-1.59156,0.0444556,1.70133,70042,inf,0.999995
"Apun_pr[2]",-0.0647886,0.00378798,1.00251,-1.71515,-0.0665616,1.59116,70042,inf,0.999995
"Apun_pr[3]",-0.0122252,0.0037464,0.991503,-1.64949,-0.01496,1.61598,70042,inf,0.999986
"Apun_pr[4]",-0.0468234,0.00376064,0.995271,-1.67982,-0.0474837,1.5989,70042,inf,0.999986
"Apun_pr[5]",-0.00215715,0.00379445,1.00422,-1.65459,-0.000552348,1.6524,70042,inf,1.00001
"Apun_pr[6]",0.0590894,0.00375798,0.994568,-1.56132,0.0625416,1.69152,70042,inf,0.999989
"Apun_pr[7]",0.0292213,0.00378587,1.00195,-1.62124,0.0295084,1.66794,70042,inf,0.999986
"Apun_pr[8]",-0.0433232,0.00377045,0.997867,-1.69639,-0.04497,1.59923,70042,inf,1.00001
"Apun_pr[9]",-0.0391452,0.00376048,0.995227,-1.67348,-0.0406965,1.58955,70042,inf,0.999986
"Apun_pr[10]",0.000864286,0.00373969,0.989726,-1.6342,0.00140042,1.62311,70042,inf,0.999992
"R_pr[1]",0.00874367,0.00376724,0.997016,-1.62644,0.00538193,1.65047,70042,inf,0.999992
"R_pr[2]",0.0759323,0.00376138,0.995467,-1.5567,0.0823491,1.71747,70042,inf,0.999986
"R_pr[3]",-0.0873923,0.00377883,1.00008,-1.72547,-0.0881993,1.57235,70042,inf,0.99999
"R_pr[4]",0.0618117,0.00374182,0.990291,-1.57985,0.0643453,1.68741,70042,inf,0.99999
"R_pr[5]",-0.0373896,0.00376199,0.995627,-1.67464,-0.0378427,1.59831,70042,inf,0.999987
"R_pr[6]",0.0293389,0.00375529,0.993855,-1.59405,0.0291897,1.65715,70042,inf,0.999996
"R_pr[7]",-0.0266794,0.00375812,0.994603,-1.64829,-0.03055,1.61324,70042,inf,1.00002
"R_pr[8]",0.00704447,0.00373205,0.987704,-1.61989,0.00308065,1.62795,70042,inf,0.999987
"R_pr[9]",0.0546333,0.00375235,0.993077,-1.57175,0.0576671,1.69183,70042,inf,0.999993
"R_pr[10]",-0.0484439,0.00377762,0.999765,-1.68877,-0.051486,1.59807,70042,inf,0.999993
"P_pr[1]",0.0621982,0.0038121,1.00889,-1.59414,0.0646614,1.72205,70042,inf,1.00002
"P_pr[2]",-0.0727288,0.00379562,1.00453,-1.72231,-0.0750158,1.58431,70042,inf,0.999986
"P_pr[3]",-0.0213334,0.0037887,1.0027,-1.67054,-0.0247523,1.63903,70042,inf,0.999988
"P_pr[4]",-0.0636676,0.00378248,1.00105,-1.70637,-0.0636927,1.58228,70042,inf,0.999994
"P_pr[5]",-0.00825336,0.00374561,0.991293,-1.64034,-0.00419571,1.62074,70042,inf,1.00001
"P_pr[6]",0.0709483,0.00376776,0.997154,-1.57046,0.0745688,1.70886,70042,inf,0.999987
"P_pr[7]",0.0310572,0.00378242,1.00103,-1.62915,0.0351712,1.68035,70042,inf,0.999988
"P_pr[8]",-0.0427638,0.0037579,0.994544,-1.68548,-0.0390582,1.59857,70042,inf,0.999987
"P_pr[9]",-0.0472077,0.00376386,0.996122,-1.69084,-0.043011,1.58468,70042,inf,0.999989
"P_pr[10]",0.000921837,0.00375745,0.994427,-1.64029,-0.000578104,1.64194,70042,inf,1.00001
"xi_pr[1]",-0.063178,0.00362881,0.96038,-1.6353,-0.0668781,1.53373,70042,inf,1.00005
"xi_pr[2]",-0.0890025,0.00361766,0.95743,-1.6465,-0.0943694,1.49462,70042,inf,0.999986
"xi_pr[3]",0.214314,0.00367816,0.973443,-1.39349,0.220573,1.81287,70042,inf,0.999986
"xi_pr[4]",0.0223896,0.0036743,0.972419,-1.57447,0.0189974,1.62416,70042,inf,0.999991
"xi_pr[5]",0.130084,0.00365701,0.967845,-1.4666,0.132636,1.72259,70042,inf,0.999986
"xi_pr[6]",-0.221942,0.00370514,0.980581,-1.82006,-0.231891,1.39884,70042,inf,0.999995
"xi_pr[7]",-0.0245965,0.00362797,0.960159,-1.58843,-0.0270324,1.55151,70042,inf,0.999986
"xi_pr[8]",0.0763452,0.00363102,0.960965,-1.505,0.0727084,1.66366,70042,inf,0.999999
"xi_pr[9]",-0.062601,0.00365515,0.967351,-1.64937,-0.0695792,1.53787,70042,inf,1.00002
"xi_pr[10]",0.109438,0.00366081,0.96885,-1.48311,0.108116,1.70733,70042,inf,1.00002
"d_pr[1]",-0.11912,0.00376928,0.997556,-1.75124,-0.119867,1.51614,70042,inf,1.00005
"d_pr[2]",0.0122654,0.00372687,0.986332,-1.60621,0.00953943,1.64088,70042,inf,1.00005
"d_pr[3]",0.0735828,0.00374999,0.992453,-1.55905,0.0710949,1.69961,70042,inf,1
"d_pr[4]",-0.00701758,0.00374982,0.992408,-1.64161,-0.00894353,1.63014,70042,inf,0.999986
"d_pr[5]",0.0885433,0.00376602,0.996694,-1.54872,0.0914574,1.73152,70042,inf,0.99999
"d_pr[6]",-0.0200321,0.00377894,1.00011,-1.67476,-0.0238034,1.62947,70042,inf,1.00001
"d_pr[7]",0.00954492,0.00372778,0.986573,-1.61425,0.00887054,1.63522,70042,inf,0.999991
"d_pr[8]",0.0253259,0.00374617,0.991441,-1.60772,0.0279859,1.64608,70042,inf,0.99999
"d_pr[9]",0.0645682,0.00379213,1.0036,-1.58301,0.0688711,1.71471,70042,inf,0.999986
"d_pr[10]",0.0209312,0.00373671,0.988938,-1.61444,0.0197576,1.64585,70042,inf,0.999992
"Arew[1]",0.421353,0.000856103,0.226572,0.0778046,0.408369,0.81104,70042,inf,0.99999
"Arew[2]",0.42022,0.000835971,0.221244,0.0815497,0.407854,0.801044,70042,inf,1
"Arew[3]",0.41149,0.000859613,0.227501,0.0738665,0.394022,0.810068,70042,inf,0.999989
"Arew[4]",0.417669,0.00083229,0.220269,0.0787304,0.406458,0.797441,70042,inf,0.99999
"Arew[5]",0.41392,0.000847352,0.224255,0.0743485,0.400318,0.802852,70042,inf,1
"Arew[6]",0.419131,0.000848725,0.224619,0.0797318,0.405027,0.809297,70042,inf,0.999992
"Arew[7]",0.417689,0.000857489,0.226938,0.0762275,0.403781,0.810016,70042,inf,1.00001
"Arew[8]",0.418495,0.000852703,0.225672,0.0770374,0.405354,0.806863,70042,inf,0.999994
"Arew[9]",0.420554,0.000840313,0.222393,0.0794276,0.408587,0.804675,70042,inf,1
"Arew[10]",0.419897,0.000867914,0.229697,0.0747485,0.405728,0.81835,70042,inf,0.999992
"Apun[1]",0.355715,0.00108223,0.286418,0.0206942,0.276382,0.909008,70042,inf,0.999992
"Apun[2]",0.349135,0.00108537,0.287248,0.0193669,0.264865,0.908817,70042,inf,0.999991
"Apun[3]",0.35258,0.00108669,0.287598,0.0196154,0.270239,0.910815,70042,inf,0.999991
"Apun[4]",0.349909,0.0010847,0.28707,0.0194075,0.266035,0.908558,70042,inf,0.999992
"Apun[5]",0.352596,0.00108623,0.287476,0.0200309,0.270638,0.910396,70042,inf,0.999986
"Apun[6]",0.355648,0.00107973,0.285755,0.0213222,0.276893,0.909922,70042,inf,0.999988
"Apun[7]",0.354448,0.00108244,0.286472,0.0207721,0.273841,0.90985,70042,inf,0.999988
"Apun[8]",0.350069,0.00108328,0.286695,0.0197526,0.267854,0.908556,70042,inf,0.999987
"Apun[9]",0.350657,0.00108466,0.287061,0.0196919,0.267523,0.908622,70042,inf,0.999991
"Apun[10]",0.352084,0.00108139,0.286195,0.0205333,0.270934,0.909131,70042,inf,0.999991
"R[1]",17.1254,0.0473191,8.04691,3.42502,17.7134,28.8763,28919.1,inf,1.00003
"R[2]",17.2572,0.0468873,7.97851,3.55542,17.9053,28.8681,28955.6,inf,1.00002
"R[3]",16.9163,0.0473407,8.13862,3.29019,17.4719,28.8626,29555,inf,1.00002
"R[4]",17.2713,0.047797,8.03847,3.39008,17.9914,28.8763,28284.3,inf,1.00003
"R[5]",17.0533,0.0476208,8.09832,3.28014,17.6686,28.8648,28919.8,inf,1.00003
"R[6]",17.1438,0.0467302,8.01471,3.58725,17.7471,28.8792,29415.8,inf,1.00002
"R[7]",17.0278,0.0472475,8.08118,3.41745,17.6043,28.8734,29254.5,inf,1.00002
"R[8]",17.1308,0.0472804,8.04318,3.40537,17.7531,28.8592,28939.6,inf,1.00002
"R[9]",17.2224,0.0468387,8.0116,3.50743,17.8654,28.8802,29256.9,inf,1.00004
"R[10]",16.9943,0.0470415,8.09277,3.37201,17.5173,28.8597,29596,inf,1.00003
"P[1]",9.077,0.0293969,7.78003,0.612744,6.58632,25.4441,70042,inf,1.00003
"P[2]",8.84767,0.0293493,7.76742,0.563729,6.27873,25.3416,70042,inf,1.00002
"P[3]",8.9509,0.0293739,7.77393,0.583335,6.41704,25.3952,70042,inf,1.00003
"P[4]",8.85011,0.0292951,7.75307,0.586769,6.24849,25.3853,70042,inf,1.00002
"P[5]",8.95078,0.0293474,7.76693,0.596812,6.41586,25.3977,70042,inf,1.00006
"P[6]",9.09263,0.02945,7.79409,0.62029,6.59835,25.4902,70042,inf,1.00002
"P[7]",9.02504,0.0293599,7.77022,0.609514,6.51419,25.4548,70042,inf,1.00003
"P[8]",8.89845,0.0293419,7.76547,0.576953,6.33104,25.3268,70042,inf,1.00003
"P[9]",8.87109,0.0292305,7.73598,0.587637,6.35124,25.3795,70042,inf,1.00003
"P[10]",8.9859,0.0293995,7.7807,0.587594,6.45321,25.4014,70042,inf,1.00003
"xi[1]",0.805117,0.00172081,0.152894,0.45318,0.854297,0.920081,7894.36,inf,1.0003
"xi[2]",0.803791,0.00172591,0.154358,0.443638,0.853493,0.920161,7998.77,inf,1.00033
"xi[3]",0.814675,0.00173906,0.153862,0.459272,0.862976,0.931188,7827.69,inf,1.00026
"xi[4]",0.80796,0.00172467,0.153629,0.44924,0.856664,0.924059,7934.83,inf,1.00023
"xi[5]",0.812201,0.00172645,0.152747,0.457255,0.860077,0.928125,7827.72,inf,1.00029
