name,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
"lp__",-10.5166,0.0149194,2.5554,-15.3035,-10.1305,-7.08673,29337,110.054,0.999997
"accept_stat__",0.938015,0.000268664,0.084959,0.767846,0.969203,1,100000,375.139,1.00001
"stepsize__",0.221004,1.05942e-13,7.49127e-14,0.221004,0.221004,0.221004,0.500008,0.00187572,0.99999
"treedepth__",3.87514,0.0014211,0.407273,3,4,4,82133.6,308.115,1.00009
"n_leapfrog__",16.584,0.0226714,6.4727,7,15,31,81510.7,305.778,1.00004
"divergent__",0,0,0,0,0,0,100000,375.139,-nan
"energy__",15.013,0.0197724,3.31973,10.2555,14.6425,21.0213,28189.5,105.75,1.00001
"CL",13.3668,0.0045709,0.9005,11.7789,13.449,14.6779,38811.9,145.599,1.00001
"Q",13.9851,0.00870843,2.0993,10.9207,13.7994,17.6616,58112.4,218.002,0.99999
"V1",36.3653,0.0298636,6.27017,25.7716,36.5061,46.4201,44083.2,165.373,1
"V2",108.962,0.129717,24.1472,80.2498,104.453,152.874,34653,129.997,1
"ka",2.2349,0.00249729,0.547604,1.41449,2.19493,3.18719,48083.2,180.379,0.999991
"ke0",1.43647,0.00128253,0.365389,0.954167,1.3838,2.0935,81166.8,304.488,1.00001
"EC50",113.984,0.0550411,14.535,92.562,112.823,139.267,69735.8,261.606,0.999994
"sigma",0.151634,0.000184687,0.0421388,0.0994193,0.143871,0.230219,52058.4,195.291,1.00001
"sigmaResp",7.51693,0.00648443,1.7242,5.27348,7.24105,10.6946,70702.5,265.232,1.00008
"cHat[1]",0,0,0,0,0,0,100000,375.139,-nan
"cHat[2]",126.318,0.0408895,12.9304,107.113,125.444,148.363,100000,375.139,0.999995
"cHat[3]",210.089,0.0568685,17.9834,182.534,209.249,240.417,100000,375.139,0.999998
"cHat[4]",294.313,0.0614688,19.4381,263.957,293.713,326.875,100000,375.139,1.00001
"cHat[5]",314.264,0.06099,19.2867,283.797,313.761,346.4,100000,375.139,1.00001
"cHat[6]",302.88,0.0694701,19.4397,271.527,302.601,334.909,78304.3,293.75,1.00001
"cHat[7]",190.892,0.0560388,15.0699,167.399,190.299,216.347,72317.9,271.292,0.999998
"cHat[8]",112.699,0.0398411,10.0336,97.1636,112.28,129.64,63423.9,237.928,0.999991
"cHat[9]",73.4117,0.0273203,6.78862,63.1789,72.9574,85.1109,61743.7,231.624,0.99999
"cHat[10]",44.2268,0.0119507,3.77915,38.4907,44.0151,50.6604,100000,375.139,0.999991
"cHat[11]",34.8055,0.0102729,3.24858,29.8318,34.6255,40.3386,100000,375.139,0.99999
"cHat[12]",26.2518,0.00707302,2.23668,22.6912,26.2021,29.9598,100000,375.139,0.99999
"cHat[13]",18.316,0.00475676,1.50422,16.0595,18.2159,20.909,100000,375.139,0.999996
"cHat[14]",12.8927,0.0073775,1.6382,10.4506,12.7584,15.7698,49307.9,184.973,1
"cHatObs[1]",126.318,0.0408895,12.9304,107.113,125.444,148.363,100000,375.139,0.999995
"cHatObs[2]",210.089,0.0568685,17.9834,182.534,209.249,240.417,100000,375.139,0.999998
"cHatObs[3]",294.313,0.0614688,19.4381,263.957,293.713,326.875,100000,375.139,1.00001
