name,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
"lp__",-1101.61,0.0404603,7.11192,-1113.89,-1101.29,-1090.47,30897,11.4486,1.00003
"accept_stat__",0.911062,0.000380068,0.111006,0.702169,0.948454,0.997805,85304.1,31.6086,0.999994
"stepsize__",0.188711,1.03351e-13,7.30808e-14,0.188711,0.188711,0.188711,0.500008,0.000185273,0.99999
"treedepth__",4.62536,0.00168385,0.488556,4,5,5,84182.8,31.1932,0.999999
"n_leapfrog__",28.6283,0.0314812,9.7486,15,31,31,95892.1,35.5319,1.00001
"divergent__",6e-05,3.46384e-05,0.00774577,0,0,0,50005.2,18.5289,1.00002
"energy__",1137.61,0.0549359,9.30006,1122.92,1137.23,1153.49,28658.9,10.6193,1.00003
"mu_pr[1]",-1.21931,0.00062865,0.170029,-1.51736,-1.20293,-0.97356,73152.7,27.1061,0.999991
"mu_pr[2]",-0.460639,0.000254637,0.0805232,-0.590641,-0.461536,-0.328048,100000,37.0541,0.99999
"mu_pr[3]",0.390319,0.00044406,0.118637,0.206229,0.38646,0.588281,71376.8,26.448,1.00002
"mu_pr[4]",0.183132,0.000190446,0.0602244,0.0868329,0.182348,0.282395,100000,37.0541,0.99999
"mu_pr[5]",1.80604,0.000735277,0.194826,1.52126,1.78882,2.15098,70209,26.0153,0.999993
"mu_pr[6]",1.016,0.000546483,0.147723,0.775798,1.01461,1.2596,73070.4,27.0755,1.00003
"sigma[1]",0.0960942,0.000265462,0.0749863,0.00739257,0.0797449,0.240948,79792.2,29.5662,1
"sigma[2]",0.100674,0.0003089,0.0720177,0.00865561,0.0885168,0.23515,54355.3,20.1408,1
"sigma[3]",0.201266,0.000698953,0.132465,0.0231489,0.183318,0.441651,35917.5,13.3089,0.999996
"sigma[4]",0.0647718,0.000240273,0.053999,0.00468396,0.0521196,0.167791,50508.2,18.7154,0.99999
"sigma[5]",0.097336,0.000245586,0.0776611,0.00738122,0.0796167,0.247868,100000,37.0541,0.999991
"sigma[6]",0.288926,0.000472342,0.102857,0.124081,0.285667,0.463029,47419.5,17.5708,1.00008
"xi_pr[1]",0.00678189,0.0029757,0.941,-1.54087,0.0093429,1.55021,100000,37.0541,0.999991
"xi_pr[2]",0.0918071,0.0029806,0.942548,-1.47423,0.0978916,1.62469,100000,37.0541,0.999994
"xi_pr[3]",0.258825,0.00303405,0.959452,-1.34387,0.275547,1.80669,100000,37.0541,0.99999
