name,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
"lp__",1838.11,5.35065e-10,3.78354e-10,1838.11,1838.11,1838.11,0.500015,inf,0.99998
"accept_stat__",0.884492,0.0013092,0.288249,0,1,1,48475.6,inf,1.00001
"stepsize__",7.94846e-13,3.56996e-25,2.52438e-25,7.94846e-13,7.94846e-13,7.94846e-13,0.500015,inf,0.99998
"treedepth__",8.53964,0.0155984,3.43283,0,10,10,48433.5,inf,0.999995
"n_leapfrog__",866.028,1.67374,368.389,1,1023,1023,48443.6,inf,0.999992
"divergent__",0.153668,0.00163851,0.360634,0,0,1,48443.7,inf,0.999992
"energy__",-1817.58,0.0204335,4.52535,-1824.38,-1817.91,-1809.57,49047.8,inf,1.00001
"y_tilde1[1]",-0.168757,5.59343e-14,3.95521e-14,-0.168757,-0.168757,-0.168757,0.500015,inf,0.99998
"y_tilde1[2]",-1.73444,1.44448e-14,1.02142e-14,-1.73444,-1.73444,-1.73444,0.500015,inf,0.99998
"y_tilde1[3]",-1.66246,3.14017e-14,2.22047e-14,-1.66246,-1.66246,-1.66246,0.500015,inf,0.99998
"y_tilde1[4]",-0.672889,2.08507e-13,1.47439e-13,-0.672889,-0.672889,-0.672889,0.500015,inf,0.99998
"y_tilde1[5]",-0.849095,1.46803e-13,1.03807e-13,-0.849095,-0.849095,-0.849095,0.500015,inf,0.99998
"y_tilde1[6]",-0.183318,4.38446e-14,3.10033e-14,-0.183318,-0.183318,-0.183318,0.500015,inf,0.99998
"y_tilde1[7]",-0.773767,1.48373e-13,1.04917e-13,-0.773767,-0.773767,-0.773767,0.500015,inf,0.99998
"y_tilde1[8]",-3.10529,9.49587e-13,6.7147e-13,-3.10529,-3.10529,-3.10529,0.500015,inf,0.99998
"y_tilde1[9]",-1.91117,7.4265e-13,5.25141e-13,-1.91117,-1.91117,-1.91117,0.500015,inf,0.99998
"y_tilde1[10]",-0.57396,1.14145e-13,8.0714e-14,-0.57396,-0.57396,-0.57396,0.500015,inf,0.99998
"y_tilde1[11]",-1.33614,1.04882e-13,7.41636e-14,-1.33614,-1.33614,-1.33614,0.500015,inf,0.99998
"y_tilde1[12]",-1.66971,6.69484e-13,4.73404e-13,-1.66971,-1.66971,-1.66971,0.500015,inf,0.99998
"y_tilde1[13]",-0.608306,4.78876e-14,3.38621e-14,-0.608306,-0.608306,-0.608306,0.500015,inf,0.99998
"y_tilde1[14]",-1.46114,9.64032e-14,6.81684e-14,-1.46114,-1.46114,-1.46114,0.500015,inf,0.99998
"y_tilde1[15]",0.313589,5.78576e-14,4.09121e-14,0.313589,0.313589,0.313589,0.500015,inf,0.99998
"y_tilde1[16]",-1.5063,5.93492e-14,4.19669e-14,-1.5063,-1.5063,-1.5063,0.500015,inf,0.99998
"y_tilde1[17]",-0.525884,7.96033e-14,5.62889e-14,-0.525884,-0.525884,-0.525884,0.500015,inf,0.99998
"y_tilde1[18]",-0.951105,1.53711e-13,1.08692e-13,-0.951105,-0.951105,-0.951105,0.500015,inf,0.99998
"y_tilde1[19]",-0.633556,4.38054e-14,3.09755e-14,-0.633556,-0.633556,-0.633556,0.500015,inf,0.99998
"y_tilde1[20]",-2.77742,8.77991e-13,6.20843e-13,-2.77742,-2.77742,-2.77742,0.500015,inf,0.99998
"y_tilde1[21]",-3.64426,6.19241e-13,4.37876e-13,-3.64426,-3.64426,-3.64426,0.500015,inf,0.99998
"y_tilde1[22]",-1.94344,1.50728e-14,1.06582e-14,-1.94344,-1.94344,-1.94344,0.500015,inf,0.99998
"y_tilde1[23]",-2.49629,2.50585e-13,1.77193e-13,-2.49629,-2.49629,-2.49629,0.500015,inf,0.99998
"y_tilde1[24]",-1.90196,6.09507e-13,4.30993e-13,-1.90196,-1.90196,-1.90196,0.500015,inf,0.99998
"y_tilde1[25]",-0.805481,6.76706e-14,4.78511e-14,-0.805481,-0.805481,-0.805481,0.500015,inf,0.99998
"y_tilde1[26]",-0.968375,4.64588e-13,3.28518e-13,-0.968375,-0.968375,-0.968375,0.500015,inf,0.99998
"y_tilde1[27]",-1.47253,2.89524e-13,2.04727e-13,-1.47253,-1.47253,-1.47253,0.500015,inf,0.99998
"y_tilde1[28]",0.015509,4.83292e-16,3.41744e-16,0.015509,0.015509,0.015509,0.500015,inf,0.99998
"y_tilde1[29]",-0.44982,1.74986e-13,1.23736e-13,-0.44982,-0.44982,-0.44982,0.500015,inf,0.99998
"y_tilde1[30]",1.32098,2.54354e-14,1.79858e-14,1.32098,1.32098,1.32098,0.500015,inf,0.99998
"y_tilde1[31]",-0.2578,9.78948e-14,6.92231e-14,-0.2578,-0.2578,-0.2578,0.500015,inf,0.99998
"y_tilde1[32]",-0.55978,4.03512e-14,2.8533e-14,-0.55978,-0.55978,-0.55978,0.500015,inf,0.99998
