name,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
"lp__",3.65224,0.0690488,7.45244,-9.34945,4.17011,14.916,11648.9,86.2837,1.00003
"accept_stat__",0.928676,0.000431691,0.104585,0.721973,0.967888,0.998888,58693.5,434.744,0.999991
"stepsize__",0.105434,6.56886e-14,4.64492e-14,0.105434,0.105434,0.105434,0.500008,0.00370357,0.99999
"treedepth__",5.10173,0.00158711,0.335473,5,5,6,44678.8,330.937,0.999992
"n_leapfrog__",41.7364,0.0725931,17.7525,31,31,63,59803.9,442.969,0.999995
"divergent__",5e-05,2.23602e-05,0.00707093,0,0,0,100000,740.702,0.999992
"energy__",12.848,0.0775879,8.48856,-0.181944,12.3904,27.5288,11969.6,88.6591,1
"length_scale",0.150426,0.000267758,0.0303992,0.109645,0.148338,0.194193,12889.5,95.4732,1.00001
"alpha",1.26842,0.00177463,0.248575,0.925401,1.23573,1.72289,19619.9,145.325,0.99999
"sigma",0.276551,0.00064218,0.0774833,0.179405,0.26314,0.418955,14558,107.832,1.00005
"f_eta[1]",-0.961507,0.00147689,0.284446,-1.44423,-0.946809,-0.529759,37093.8,274.754,1.00004
"f_eta[2]",-0.631912,0.00105884,0.191075,-0.970676,-0.615318,-0.351786,32564.8,241.208,0.99999
"f_eta[3]",2.5706,0.00338798,0.483297,1.81464,2.54561,3.4016,20349.1,150.727,0.999995
"f_eta[4]",-0.573987,0.00193692,0.345733,-1.11169,-0.58342,-0.0181034,31860.9,235.995,1
"f_eta[5]",-0.529183,0.00110499,0.169274,-0.812122,-0.518413,-0.289543,23467.1,173.822,0.999991
"f_eta[6]",-0.900796,0.00161217,0.461354,-1.65498,-0.899191,-0.154412,81892.6,606.58,1.00004
"f_eta[7]",0.535985,0.00109175,0.222771,0.20627,0.519165,0.923269,41636.4,308.402,0.99999
"f_eta[8]",-0.48101,0.00378786,0.818655,-1.80936,-0.491802,0.888611,46710.4,345.985,0.999995
"f_eta[9]",-0.822185,0.00402408,0.879842,-2.22689,-0.846338,0.662185,47805.3,354.095,1.00002
"f_eta[10]",1.15134,0.00164401,0.286902,0.709724,1.14212,1.63033,30454.8,225.58,1.00002
"f_eta[11]",0.77349,0.00303648,0.851546,-0.648431,0.786738,2.15679,78645.7,582.53,1.00002
"f_eta[12]",-0.883916,0.0024766,0.783169,-2.10156,-0.923563,0.471209,100000,740.702,1.00001
"f_eta[13]",0.78487,0.00123047,0.220684,0.455864,0.768529,1.16725,32166.3,238.257,0.999991
"f_eta[14]",-0.613796,0.00264848,0.610431,-1.6086,-0.617937,0.393609,53122.6,393.481,0.999991
"f_eta[15]",0.947835,0.00180547,0.329691,0.43085,0.944305,1.4869,33345.2,246.988,1.00003
"f_eta[16]",0.457478,0.00306086,0.69372,-0.723966,0.482677,1.55599,51366.6,380.473,1.00002
"f_eta[17]",0.454642,0.00228542,0.50628,-0.419687,0.490294,1.2125,49073.6,363.49,0.999992
