name,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
"lp__",-890.032,0.103311,20.7975,-924.742,-889.643,-856.28,40525.2,185.907,1.0001
"accept_stat__",0.935294,0.000314237,0.0840931,0.775483,0.963468,0.998741,71615.1,328.529,1.00003
"stepsize__",0.10711,3.98802e-14,2.81998e-14,0.10711,0.10711,0.10711,0.500008,0.00229375,0.99999
"treedepth__",5,5.38424e-15,1.70265e-12,5,5,5,100000,458.743,0.99999
"n_leapfrog__",31,4.26919e-14,1.35004e-11,31,31,31,100000,458.743,0.99999
"divergent__",0,0,0,0,0,0,100000,458.743,-nan
"energy__",1283.08,0.151944,28.7337,1236.2,1282.79,1330.93,35761.6,164.054,1.00008
"b_home",0.278293,0.000250875,0.0793337,0.147989,0.278141,0.409377,100000,458.743,0.999992
"b_prev",1.44047,0.00225566,0.485545,0.619965,1.45676,2.20869,46335.3,212.56,1.00003
"sigma_a0",0.292927,0.00129374,0.14113,0.0541914,0.295164,0.523944,11899.8,54.5897,1.00007
"tau_a",0.0782698,0.000331952,0.0413814,0.0140571,0.0753244,0.150623,15540.4,71.2903,1.00012
"nu",26.2693,0.0484692,13.7883,10.0843,23.202,52.9892,80926.1,371.243,0.999991
"sigma_y",1.47558,0.000268842,0.0692794,1.36144,1.47592,1.58886,66406.9,304.637,1.00003
"sigma_a_raw[1]",0.722419,0.00176685,0.558726,0.0556149,0.601197,1.80571,100000,458.743,0.999997
"sigma_a_raw[2]",1.15303,0.00306656,0.649174,0.164594,1.10721,2.29746,44814.5,205.583,0.99999
"sigma_a_raw[3]",0.723169,0.00178698,0.565092,0.0532017,0.596752,1.82637,100000,458.743,1.00002
"sigma_a_raw[4]",0.726169,0.00176658,0.558643,0.0547239,0.60567,1.80973,100000,458.743,0.999995
"sigma_a_raw[5]",0.836381,0.00225886,0.594665,0.0742366,0.732745,1.95666,69305.4,317.933,1.00001
"sigma_a_raw[6]",0.704975,0.00174364,0.551388,0.0519292,0.58306,1.78425,100000,458.743,0.999993
"sigma_a_raw[7]",1.07871,0.00327175,0.634797,0.138828,1.0275,2.20878,37645.1,172.694,1.00006
"sigma_a_raw[8]",0.740788,0.00179103,0.566375,0.0590926,0.619759,1.83861,100000,458.743,0.99999
"sigma_a_raw[9]",0.676331,0.00169313,0.535415,0.0490235,0.552323,1.72521,100000,458.743,0.999996
"sigma_a_raw[10]",0.652444,0.00165156,0.522269,0.0486412,0.527234,1.68039,100000,458.743,0.99999
"sigma_a_raw[11]",0.761794,0.00185743,0.58737,0.0574826,0.635037,1.9054,100000,458.743,0.999993
"sigma_a_raw[12]",0.698904,0.0017058,0.539423,0.0539914,0.583111,1.74724,100000,458.743,0.999995
"sigma_a_raw[13]",0.822288,0.00219752,0.588415,0.0729831,0.717434,1.93935,71697.2,328.906,1.00002
"sigma_a_raw[14]",0.798774,0.00183815,0.581274,0.0672196,0.692147,1.90441,100000,458.743,0.99999
"sigma_a_raw[15]",0.790574,0.00184431,0.583221,0.0651421,0.678273,1.90568,100000,458.743,1
"sigma_a_raw[16]",0.729396,0.00176381,0.557767,0.0551839,0.613766,1.80652,100000,458.743,0.99999
"sigma_a_raw[17]",0.898322,0.00260437,0.616837,0.0844691,0.804289,2.05281,56096.6,257.339,1
"sigma_a_raw[18]",0.758062,0.00180716,0.571475,0.0587192,0.641722,1.854,100000,458.743,0.999991
"sigma_a_raw[19]",0.64149,0.0016097,0.50903,0.0464079,0.524867,1.63549,100000,458.743,0.999992
"sigma_a_raw[20]",0.691912,0.00167853,0.530799,0.0527936,0.577759,1.72172,100000,458.743,0.999999
"eta_a[1,1]",0.500143,0.00309737,0.792146,-0.838202,0.52407,1.75859,65407.1,300.05,0.999991
"eta_a[1,2]",-1.01449,0.00602015,0.949436,-2.45346,-1.0923,0.681839,24872.4,114.1,0.99999
"eta_a[1,3]",-0.281519,0.0030116,0.783209,-1.54529,-0.294927,1.02446,67633.3,310.263,0.99999
"eta_a[1,4]",-0.757289,0.00354669,0.835558,-2.11153,-0.765873,0.625613,55501.8,254.61,0.999992
"eta_a[1,5]",-0.15251,0.00322922,0.79634,-1.42036,-0.180374,1.19866,60813.6,278.978,1.00002
"eta_a[1,6]",0.332061,0.00257953,0.764107,-0.9169,0.332776,1.58624,87746.1,402.529,1.00002
"eta_a[1,7]",1.15388,0.0060718,0.941668,-0.526954,1.23242,2.57292,24052.6,110.339,0.99999
"eta_a[1,8]",0.0817457,0.00258221,0.772573,-1.20481,0.093483,1.33324,89515.3,410.645,1.00005
"eta_a[1,9]",0.534704,0.00253997,0.80321,-0.800153,0.54855,1.82717,100000,458.743,1.00006
"eta_a[1,10]",0.128053,0.00263683,0.765713,-1.13519,0.133384,1.37719,84327,386.844,0.999991
"eta_a[1,11]",-0.537365,0.00317193,0.786836,-1.80058,-0.5535,0.793992,61534.9,282.287,0.999995
"eta_a[1,12]",-0.42188,0.00331316,0.796931,-1.69313,-0.442086,0.925028,57857,265.415,0.99999
"eta_a[1,13]",0.333581,0.00318061,0.791111,-1.01423,0.363624,1.57911,61866.5,283.808,0.99999
"eta_a[1,14]",-0.463943,0.00314365,0.787201,-1.71519,-0.489752,0.876322,62704.9,287.654,1.00002
"eta_a[1,15]",-0.376843,0.00283314,0.785473,-1.66993,-0.372984,0.911495,76864.5,352.61,1.00003
"eta_a[1,16]",-0.442671,0.00306704,0.77046,-1.66956,-0.464403,0.865411,63104.7,289.488,0.999997
"eta_a[1,17]",0.827217,0.004333,0.852172,-0.676811,0.883164,2.1339,38679.2,177.438,1
"eta_a[1,18]",0.231065,0.00245602,0.776662,-1.03579,0.227114,1.51446,100000,458.743,1.00002
"eta_a[1,19]",-0.31169,0.00282806,0.748632,-1.51702,-0.322737,0.943762,70074.4,321.461,0.99999
"eta_a[1,20]",0.657303,0.00334091,0.77683,-0.657211,0.677532,1.89325,54065.7,248.023,0.999996
"eta_a[2,1]",0.14377,0.00314197,0.993579,-1.4936,0.143217,1.7711,100000,458.743,1
"eta_a[2,2]",-0.313863,0.00313725,0.992085,-1.9395,-0.320194,1.33254,100000,458.743,0.999991
"eta_a[2,3]",-0.0217508,0.00311362,0.984612,-1.6376,-0.0220269,1.60443,100000,458.743,0.999992
"eta_a[2,4]",-0.159532,0.00318213,1.00628,-1.80741,-0.161273,1.49572,100000,458.743,1
"eta_a[2,5]",-0.0474535,0.00312903,0.989486,-1.67002,-0.0499942,1.58065,100000,458.743,0.999998
"eta_a[2,6]",0.0974026,0.00324679,1.00232,-1.56258,0.099441,1.74967,95303.2,437.197,1.00001
"eta_a[2,7]",0.250189,0.00314006,0.992975,-1.39445,0.252211,1.87494,100000,458.743,0.999991
"eta_a[2,8]",-0.0263908,0.00313671,0.991915,-1.65185,-0.0279102,1.60244,100000,458.743,0.999991
"eta_a[2,9]",0.0654221,0.00323572,0.988825,-1.56126,0.0658689,1.69045,93389.5,428.418,0.99999
"eta_a[2,10]",0.0163485,0.00313665,0.991896,-1.61339,0.0177544,1.64901,100000,458.743,0.999997
"eta_a[2,11]",-0.128382,0.00314602,0.99486,-1.7654,-0.12958,1.51028,100000,458.743,0.999993
"eta_a[2,12]",-0.023124,0.00313698,0.992001,-1.65151,-0.0220438,1.61449,100000,458.743,1
"eta_a[2,13]",0.0551715,0.00312674,0.988763,-1.57096,0.0534164,1.68387,100000,458.743,0.999991
"eta_a[2,14]",-0.0636106,0.00311236,0.984213,-1.67923,-0.0663564,1.55405,100000,458.743,0.999996
"eta_a[2,15]",-0.0853949,0.00314987,0.996077,-1.72358,-0.0852533,1.55769,100000,458.743,0.999996
"eta_a[2,16]",-0.0992946,0.00313522,0.991442,-1.72893,-0.0948769,1.53578,100000,458.743,0.999995
"eta_a[2,17]",0.19365,0.00313652,0.991856,-1.42991,0.194076,1.82637,100000,458.743,0.999993
"eta_a[2,18]",0.0476387,0.00312982,0.989735,-1.57824,0.0515209,1.6769,100000,458.743,1
"eta_a[2,19]",-0.0071598,0.00312782,0.989104,-1.63127,-0.00628032,1.62001,100000,458.743,0.999991
"eta_a[2,20]",0.0670017,0.0033339,0.985786,-1.55315,0.0621485,1.69573,87430.1,401.079,0.999998
"eta_a[3,1]",0.127144,0.00312966,0.989684,-1.50164,0.126318,1.7608,100000,458.743,1
"eta_a[3,2]",-0.29504,0.00313143,0.990246,-1.92652,-0.295666,1.3322,100000,458.743,0.999991
"eta_a[3,3]",-0.0176799,0.00313682,0.991948,-1.64277,-0.0198867,1.6126,100000,458.743,1.00001
"eta_a[3,4]",-0.105285,0.00314526,0.994619,-1.74339,-0.104317,1.53015,100000,458.743,1.00003
"eta_a[3,5]",-0.0252638,0.00312796,0.989147,-1.6538,-0.0213839,1.59426,100000,458.743,0.99999
"eta_a[3,6]",0.0234523,0.00333039,0.992644,-1.61199,0.0276538,1.64986,88837.5,407.536,1
"eta_a[3,7]",0.20367,0.00329641,0.989772,-1.42809,0.205656,1.8269,90154.3,413.577,0.999999
"eta_a[3,8]",-0.0263206,0.00313233,0.990529,-1.66426,-0.0235992,1.60341,100000,458.743,0.999991
"eta_a[3,9]",0.00983006,0.00315101,0.996436,-1.63662,0.00902478,1.64957,100000,458.743,0.999992
"eta_a[3,10]",0.00451322,0.00327922,0.993271,-1.6247,0.00370939,1.63845,91747.6,420.886,0.99999
"eta_a[3,11]",-0.0812788,0.00311511,0.985083,-1.69884,-0.081963,1.5431,100000,458.743,0.999993
"eta_a[3,12]",-0.0787934,0.00315142,0.996566,-1.7135,-0.0795641,1.55627,100000,458.743,0.999991
"eta_a[3,13]",0.135267,0.00314152,0.993436,-1.50854,0.137549,1.76553,100000,458.743,1
"eta_a[3,14]",-0.0849218,0.00330676,0.989615,-1.71679,-0.0834497,1.54312,89562.7,410.863,1.00003
"eta_a[3,15]",-0.0248577,0.00312393,0.987873,-1.65263,-0.0232321,1.59544,100000,458.743,0.999991
"eta_a[3,16]",-0.132101,0.00314181,0.993527,-1.75891,-0.133927,1.50477,100000,458.743,0.999992
"eta_a[3,17]",0.219301,0.00315712,0.998369,-1.42425,0.219377,1.85513,100000,458.743,1.00001
"eta_a[3,18]",0.0523644,0.00312308,0.987606,-1.56631,0.0555648,1.67647,100000,458.743,1.00001
"eta_a[3,19]",-0.0111511,0.00313649,0.991844,-1.63499,-0.0134845,1.61513,100000,458.743,1.00001
"eta_a[3,20]",0.0937467,0.00312995,0.989777,-1.53493,0.0961616,1.71589,100000,458.743,1
"eta_a[4,1]",0.152333,0.00313679,0.991939,-1.47267,0.151872,1.78449,100000,458.743,1
"eta_a[4,2]",-0.279594,0.0033528,0.988929,-1.91107,-0.281746,1.34273,86999.2,399.103,1.00002
"eta_a[4,3]",-0.0650533,0.00313035,0.989904,-1.69432,-0.0650083,1.56231,100000,458.743,0.99999
