name,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
"lp__",653.281,1.61554,3.03203,649.569,652.307,659.575,3.52235,inf,1.75473
"accept_stat__",0.846935,0.017658,0.169424,0.484678,0.911848,0.9992,92.0594,inf,1.03217
"stepsize__",0.000172813,2.42258e-17,1.71307e-17,0.000172813,0.000172813,0.000172813,0.500029,inf,0.999962
"treedepth__",10,8.9887e-15,1.45664e-12,10,10,10,26261,inf,0.999962
"n_leapfrog__",1023,7.04363e-13,1.14144e-10,1023,1023,1023,26261,inf,0.999962
"divergent__",0,0,0,0,0,0,26261,inf,-nan
"energy__",-650.279,1.60095,3.47198,-656.889,-649.79,-645.226,4.70324,inf,1.49423
"CL",10.9717,0.134742,0.535333,10.1479,10.9325,11.9406,15.785,inf,1.02692
"Q",10.0916,0.944803,1.65758,7.66172,9.55018,12.6595,3.078,inf,2.64168
"V1",40.9608,0.867143,1.66394,38.209,41.1791,43.506,3.68209,inf,1.81787
"V2",100.51,3.67914,6.54374,90.5475,100.511,110.807,3.16344,inf,2.52689
"ka",9.53747e+271,inf,inf,1.60839e+268,2.40716e+269,4.2801e+272,26261,inf,-nan
"sigma",0.32556,0.0149258,0.0431131,0.257151,0.325681,0.392028,8.34343,inf,1.08772
"cHat[1]",0,0,0,0,0,0,26261,inf,-nan
"cHat[2]",117.134,2.15112,4.31596,110.708,116.433,124.528,4.02554,inf,1.6942
"cHat[3]",112.178,1.71552,3.68474,106.538,111.674,118.441,4.61339,inf,1.56237
"cHat[4]",107.512,1.324,3.15116,102.56,107.093,112.815,5.66455,inf,1.4207
"cHat[5]",94.7285,0.595993,2.12996,91.2589,94.7428,97.9421,12.772,inf,1.0458
"cHat[6]",83.6509,0.528476,1.98026,80.3718,83.8385,86.781,14.0408,inf,1.08423
"cHat[7]",74.0457,0.749241,2.28025,70.3422,74.1328,77.7936,9.26235,inf,1.38901
"cHat[8]",58.4762,1.26646,2.86877,53.9177,58.6699,63.1035,5.1311,inf,1.80047
"cHat[9]",46.7236,1.45002,3.04521,42.0076,47.0607,51.5954,4.41046,inf,1.93633
"cHat[10]",31.0641,1.23096,2.59009,27.0159,31.4321,35.1981,4.42733,inf,1.89125
"cHat[11]",21.9554,0.771082,1.80092,19.0401,22.0054,24.9396,5.45493,inf,1.64
"cHat[12]",13.2625,0.185223,0.773359,12.1213,13.1915,14.6098,17.4331,inf,1.00074
"cHat[13]",9.81845,0.367091,0.806203,8.766,9.67225,11.4673,4.82328,inf,1.64964
"cHat[14]",7.14866,0.468746,0.864054,6.07022,7.04543,8.8133,3.39786,inf,2.23503
"cHat[15]",124.248,2.63175,4.86041,117.208,123.369,132.403,3.41079,inf,1.94097
"cHat[16]",119.257,2.19684,4.20376,113.06,118.537,126.36,3.66166,inf,1.82568
"cHat[17]",114.557,1.80254,3.63563,109.108,114.013,120.78,4.06806,inf,1.69458
"cHat[18]",101.673,0.854695,2.41797,97.949,101.45,105.882,8.00352,inf,1.25327
"cHat[19]",90.4986,0.509356,1.95458,87.4013,90.4146,93.6887,14.7252,inf,1.00351
"cHat[20]",80.7993,0.5629,2.03321,77.4946,80.886,84.1124,13.0468,inf,1.09625
"cHat[21]",65.0491,0.884821,2.48878,60.7699,65.2528,69.2548,7.91156,inf,1.41549
"cHat[22]",53.1249,1.05056,2.66045,48.5729,53.3505,57.4556,6.41314,inf,1.53702
"cHat[23]",37.1442,0.871057,2.28864,33.1617,37.3448,40.8701,6.90339,inf,1.45443
"cHat[24]",27.7381,0.515115,1.66087,24.8131,27.8529,30.5184,10.396,inf,1.1936
"cHat[25]",18.505,0.297118,1.14808,16.9795,18.2457,20.6015,14.9308,inf,1.13273
"cHat[26]",14.5784,0.589871,1.28007,12.9607,14.3097,17.1518,4.7093,inf,1.68475
"cHat[27]",11.0797,0.59538,1.19355,9.56562,10.8539,13.4464,4.01877,inf,1.90298
"cHat[28]",11.0797,0.59538,1.19355,9.56562,10.8539,13.4464,4.01877,inf,1.90298
